발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2023-12-27 21:53:00,12,21,목포,영해,34 | 28 | 3,126 | 4 | 39,양호,정비불량,키손상,1,5,5,0,0,0,예부선,107
2023-12-27 16:53:00,12,16,목포,영해,34 | 15 | 38,125 | 38 | 6,양호,운항부주의,운항저해,1,19,19,0,0,0,낚시어선,9.77
2023-12-27 14:16:00,12,14,제주,영해,33 | 52 | 0,126 | 19 | 0,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.59
2023-12-27 13:13:00,12,13,사천,항계 내,34 | 41 | 39,128 | 3 | 29,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,낚시어선,3.01
2023-12-27 12:37:00,12,12,통영,영해,34 | 49 | 41,128 | 33 | 15,양호,정비불량,침수,1,4,4,0,0,0,어선,19
2023-12-27 11:50:00,12,11,완도,항계 내,34 | 20 | 39,126 | 47 | 51,양호,배터리 방전,운항저해,1,2,2,0,0,0,어선,1
2023-12-27 11:43:00,12,11,평택,영해,37 | 2 | 26,126 | 27 | 20,양호,관리소홀,표류,1,0,0,0,0,0,고무보트,0.1
2023-12-27 11:25:00,12,11,목포,영해,36 | 9 | 7,126 | 25 | 25,양호,운항부주의,전복,1,6,5,0,1,0,어선,9.77
2023-12-27 09:04:00,12,9,제주,영해,33 | 28 | 35,126 | 15 | 25,양호,정비불량,기관손상,1,1,1,0,0,0,어선,3
2023-12-27 06:44:00,12,6,완도,항계 내,34 | 4 | 60,127 | 9 | 0,양호,정비불량,기관손상,1,15,15,0,0,0,낚시어선,9.77
2023-12-27 04:41:00,12,4,제주,영해,33 | 19 | 60,126 | 9 | 22,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.65
2023-12-27 01:44:00,12,1,동해,영해-EEZ,37 | 52 | 45,132 | 42 | 42,황천4급,운항부주의,충돌,1,7,7,0,0,0,어선,29
2023-12-27 01:44:00,12,1,동해,영해-EEZ,37 | 52 | 45,132 | 42 | 42,황천4급,운항부주의,충돌,1,12,12,0,0,0,어선,71
2023-12-27 00:31:00,12,0,포항,영해,36 | 7 | 6,129 | 29 | 32,양호,운항부주의,기관손상,1,2,2,0,0,0,어선,4
2023-12-26 17:07:00,12,17,제주,영해,33 | 34 | 11,126 | 41 | 19,양호,배터리 방전,운항저해,1,2,2,0,0,0,모터보트,4.05
2023-12-26 08:18:00,12,8,목포,영해,35 | 10 | 5,126 | 20 | 48,양호,운항부주의,부유물감김,1,19,19,0,0,0,여객선,167
2023-12-26 08:08:00,12,8,목포,영해,34 | 35 | 43,125 | 55 | 48,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,75
2023-12-26 06:44:00,12,6,서귀포,항계 내,33 | 28 | 0,126 | 55 | 0,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.46
2023-12-26 06:38:00,12,6,여수,항계 내,34 | 44 | 6,127 | 45 | 3,양호,운항부주의,충돌,1,2,2,0,0,0,어선,1.98
2023-12-26 06:38:00,12,6,여수,항계 내,34 | 44 | 6,127 | 45 | 3,양호,운항부주의,충돌,1,5,5,0,0,0,어선,11
2023-12-26 05:26:00,12,5,부산,항계 내,35 | 2 | 39,129 | 5 | 30,양호,관리소홀,침수,1,1,1,0,0,0,예부선,83
2023-12-26 05:07:00,12,5,포항,영해,36 | 0 | 29,129 | 34 | 45,양호,운항부주의,좌초/좌주,1,6,6,0,0,0,어선,9.77
2023-12-26 04:14:00,12,4,목포,영해,34 | 19 | 57,125 | 54 | 28,양호,운항부주의,부유물감김,1,18,18,0,0,0,낚시어선,9.77
2023-12-25 21:12:00,12,21,부산,항계 내,35 | 3 | 51,129 | 2 | 22,양호,운항부주의,충돌,1,7,7,0,0,0,어선,59
2023-12-25 21:12:00,12,21,부산,항계 내,35 | 3 | 51,129 | 2 | 22,양호,운항부주의,충돌,1,15,15,0,0,0,화물선,4064
2023-12-25 19:52:00,12,19,평택,항계 내,37 | 0 | 36,126 | 18 | 23,양호,정비불량,기관손상,1,8,8,0,0,0,유조선,1097
2023-12-25 10:42:00,12,10,통영,영해-EEZ,34 | 8 | 30,128 | 41 | 3,양호,정비불량,기관손상,1,8,8,0,0,0,어선,40
2023-12-25 09:37:00,12,9,인천,항계 내,37 | 19 | 32,126 | 27 | 13,양호,정비불량,기관손상,1,13,13,0,0,0,화물선,2268
2023-12-25 09:25:00,12,9,제주,영해,33 | 48 | 0,126 | 7 | 60,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,5.48
2023-12-25 09:12:00,12,9,포항,영해,36 | 4 | 23,129 | 45 | 6,황천6급,운항부주의,부유물감김,1,3,3,0,0,0,어선,9.77
2023-12-25 06:48:00,12,6,속초,항계 내,38 | 12 | 6,128 | 36 | 24,양호,운항부주의,충돌,1,1,1,0,0,0,어선,2.46
2023-12-25 06:48:00,12,6,속초,항계 내,38 | 12 | 6,128 | 36 | 24,양호,운항부주의,충돌,1,0,0,0,0,0,어선,5.62
2023-12-24 21:53:00,12,21,포항,영해,35 | 57 | 24,129 | 34 | 51,황천6급,연료고갈,기관손상,1,3,3,0,0,0,어선,7.93
2023-12-24 16:24:00,12,16,창원,영해,35 | 1 | 50,128 | 43 | 50,양호,배터리 방전,운항저해,1,4,4,0,0,0,어선,1.76
2023-12-24 15:43:00,12,15,서귀포,영해,33 | 12 | 0,126 | 6 | 0,양호,정비불량,기관손상,1,6,6,0,0,0,어선,9.77
2023-12-24 15:25:00,12,15,속초,영해,37 | 56 | 30,128 | 48 | 50,양호,정비불량,기관손상,1,3,3,0,0,0,모터보트,1.5
2023-12-24 15:24:00,12,15,태안,영해,36 | 49 | 24,125 | 56 | 10,양호,정비불량,기관손상,1,8,8,0,0,0,화물선,493
2023-12-24 15:21:00,12,15,부안,영해,35 | 34 | 18,126 | 10 | 37,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,9.77
2023-12-24 15:12:00,12,15,창원,영해,34 | 49 | 15,128 | 44 | 32,양호,정비불량,속구손상,1,24,24,4,0,0,기타,29
2023-12-24 14:59:00,12,14,통영,영해,34 | 41 | 21,128 | 43 | 36,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,4.99
2023-12-24 14:23:00,12,14,포항,영해,36 | 13 | 13,129 | 35 | 8,황천6급,원인미상,키손상,1,3,3,0,0,0,어선,3.49
2023-12-24 14:10:00,12,14,여수,영해,34 | 29 | 56,127 | 44 | 30,양호,운항부주의,기관손상,1,3,3,0,0,0,기타,9.77
2023-12-24 11:08:00,12,11,목포,영해,35 | 22 | 7,126 | 5 | 8,양호,안전부주의,운항저해,1,5,5,0,0,0,예부선,80
2023-12-24 09:05:00,12,9,울진,영해,36 | 41 | 30,129 | 44 | 19,양호,운항부주의,부유물감김,1,8,8,0,0,0,낚시어선,5.46
2023-12-24 09:01:00,12,9,사천,항계 내,34 | 50 | 26,128 | 10 | 5,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,어선,1.99
2023-12-24 06:15:00,12,6,서귀포,항계 내,33 | 14 | 20,126 | 33 | 40,양호,운항부주의,접촉,1,2,2,0,0,0,어선,4.99
2023-12-24 04:57:00,12,4,제주,영해,33 | 33 | 3,126 | 29 | 20,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,9.77
2023-12-23 22:21:00,12,22,목포,영해,34 | 24 | 20,125 | 50 | 28,양호,운항부주의,부유물감김,1,11,11,0,0,0,어선,79
2023-12-23 21:20:00,12,21,제주,영해,33 | 38 | 17,126 | 13 | 47,양호,정비불량,운항저해,1,9,9,0,0,0,어선,29
2023-12-23 17:56:00,12,17,사천,항계 내,34 | 46 | 9,128 | 13 | 40,양호,기타 ,부유물감김,1,6,6,0,0,0,낚시어선,7.93
2023-12-23 16:41:00,12,16,평택,항계 내,36 | 59 | 39,126 | 44 | 25,양호,운항부주의,키손상,1,4,4,0,0,0,예부선,118
2023-12-23 16:39:00,12,16,태안,영해,36 | 57 | 55,125 | 52 | 36,양호,운항부주의,부유물감김,1,8,8,0,0,0,어선,43
2023-12-23 15:35:00,12,15,목포,영해,34 | 2 | 49,126 | 12 | 9,양호,정비불량,추진기손상,1,5,5,0,0,0,모터보트,2.21
2023-12-23 15:09:00,12,15,제주,영해,33 | 30 | 9,126 | 18 | 21,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,4.99
2023-12-23 14:50:00,12,14,통영,영해,34 | 51 | 6,128 | 20 | 44,양호,안전부주의,침수,1,4,4,0,0,0,어선,4.18
2023-12-23 12:52:00,12,12,여수,영해,34 | 35 | 58,127 | 43 | 55,양호,정비불량,침수,1,8,8,0,0,0,낚시어선,4.99
2023-12-23 11:13:00,12,11,제주,영해,33 | 36 | 0,126 | 45 | 0,양호,정비불량,추진기손상,1,1,1,0,0,0,어선,3
2023-12-23 10:09:00,12,10,사천,항계 내,34 | 50 | 3,128 | 15 | 7,양호,정비불량,기관손상,1,4,4,0,0,0,낚시어선,9.77
2023-12-23 09:20:00,12,9,포항,영해,36 | 5 | 48,129 | 42 | 15,황천6급,운항부주의,전복,1,4,4,0,0,0,어선,5.84
2023-12-23 09:15:00,12,9,완도,항계 내,34 | 37 | 54,127 | 1 | 53,양호,관리소홀,침수,1,0,0,0,0,0,어선,9.77
2023-12-23 07:41:00,12,7,목포,영해,34 | 20 | 1,126 | 6 | 51,양호,운항부주의,부유물감김,1,22,22,0,0,0,낚시어선,9.77
2023-12-23 02:57:00,12,2,울진,영해,36 | 22 | 35,129 | 22 | 6,풍랑주의보,정비불량,기관손상,1,7,7,0,0,0,어선,24
2023-12-23 01:40:00,12,1,제주,영해,33 | 55 | 0,126 | 21 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,0,0,0,어선,40
2023-12-22 12:18:00,12,12,통영,항계 내,34 | 53 | 16,128 | 25 | 14,양호,관리소홀,침수,1,0,0,0,0,0,모터보트,19
2023-12-21 19:21:00,12,19,목포,항계 내,34 | 49 | 36,126 | 22 | 45,풍랑주의보,안전부주의,침수,1,0,0,0,0,0,어선,196
2023-12-21 14:26:00,12,14,여수,항계 내,34 | 55 | 15,127 | 35 | 46,양호,관리소홀,침수,1,0,0,0,0,0,예부선,24
2023-12-21 14:08:00,12,14,통영,영해,34 | 48 | 9,128 | 20 | 47,양호,운항부주의,운항저해,1,2,2,0,0,0,어선,4.99
2023-12-20 19:53:00,12,19,인천,항계 내,37 | 27 | 28,126 | 36 | 6,양호,관리소홀,침수,1,2,1,0,1,0,예부선,531
2023-12-20 18:09:00,12,18,완도,항계 내,34 | 27 | 3,126 | 48 | 55,양호,관리소홀,침수,1,0,0,0,0,0,모터보트,3.7
2023-12-20 10:00:00,12,10,서귀포,영해,33 | 7 | 0,126 | 37 | 0,양호,안전부주의,작업 중 인명사상,1,10,9,0,0,1,어선,81
2023-12-20 09:03:00,12,9,창원,영해,34 | 57 | 47,128 | 43 | 12,양호,운항부주의,충돌,1,1,1,1,0,0,어선,1.64
2023-12-20 09:03:00,12,9,창원,영해,34 | 57 | 47,128 | 43 | 12,양호,운항부주의,충돌,1,3,3,0,0,0,어선,4.37
2023-12-20 08:20:00,12,8,통영,협수로,34 | 47 | 15,128 | 22 | 8,양호,운항부주의,좌초/좌주,1,9,9,0,0,0,화물선,29
2023-12-20 02:23:00,12,2,부산,항계 내,35 | 5 | 3,129 | 6 | 32,양호,운항부주의,접촉,1,8,8,0,0,0,유조선,998
2023-12-19 15:33:00,12,15,울진,영해-EEZ,36 | 49 | 0,129 | 46 | 59,양호,정비불량,침수,1,3,3,0,0,0,어선,5.54
2023-12-19 15:26:00,12,15,여수,항계 내,34 | 44 | 1,127 | 44 | 22,양호,관리소홀,화재,1,1,1,0,0,0,어선,9.77
2023-12-19 12:29:00,12,12,인천,영해,37 | 14 | 38,126 | 19 | 1,양호,관리소홀,기타,1,4,4,0,0,0,어선,9.77
2023-12-19 12:10:00,12,12,서귀포,항계 내,33 | 28 | 0,126 | 55 | 0,양호,운항부주의,운항저해,1,1,1,0,0,0,어선,4.99
2023-12-19 10:16:00,12,10,포항,영해,36 | 8 | 34,129 | 26 | 47,양호,원인미상,침수,1,3,3,0,0,0,어선,9.77
2023-12-19 09:41:00,12,9,서귀포,영해,33 | 13 | 0,126 | 50 | 45,양호,연료고갈,표류,1,1,1,0,0,0,어선,4.99
2023-12-19 05:50:00,12,5,제주,항계 내,33 | 28 | 0,126 | 19 | 0,양호,운항부주의,충돌,1,1,1,0,0,0,어선,7.31
2023-12-19 03:30:00,12,3,포항,영해,35 | 40 | 0,130 | 10 | 0,양호,안전부주의,작업 중 인명사상,1,2,1,0,1,0,어선,9.77
2023-12-19 01:19:00,12,1,목포,영해,34 | 25 | 59,125 | 55 | 10,양호,정비불량,기관손상,1,12,12,0,0,0,예부선,143
2023-12-18 18:59:00,12,18,서귀포,영해,33 | 28 | 30,126 | 55 | 50,양호,운항부주의,운항저해,1,4,4,0,0,0,어선,7.31
2023-12-18 17:21:00,12,17,제주,항계 내,33 | 31 | 21,126 | 31 | 48,양호,정비불량,기관손상,1,12,12,0,0,0,어선,9.77
2023-12-18 17:19:00,12,17,서귀포,영해,33 | 13 | 0,126 | 31 | 60,양호,정비불량,기관손상,1,2,2,0,0,0,어선,3.3
2023-12-18 11:20:00,12,11,평택,영해,37 | 9 | 14,126 | 33 | 1,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,4.53
2023-12-18 11:17:00,12,11,통영,영해,34 | 40 | 23,128 | 21 | 47,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,3.3
2023-12-18 10:34:00,12,10,동해,영해,37 | 33 | 29,129 | 10 | 5,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.92
