대분류,파일명,컬럼명,null 수,최댓값,최솟값,평균(mean),중앙값(median),최빈값_수치(mode),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),유일값 수,값 중복도 평균,코사인 유사도 수,코사인 평균 유사도,유클리디안 유사도 수,유클리디안 평균 유사도,피어슨 유사도 수,피어슨 평균 유사도,종합 평균 유사도
재난안전,45_경찰청_전국 경찰서별 강력범죄 발생 현황_20231231.csv,폭력,0,3688.0,0.0,901.3346153846154,809.5,90.0,242.75,1355.0,1112.25,482955.33547668543,694.9498798306864,3688.0,0.8336664741596156,0.4693868162234937,242,1.0743801652892562,151,0.9647364671653016,229,0.8112659397458695,115,0.8955686832685346,0.9063752481227083
환경기상,25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,폐수처리관리_산성농도,0,8.53,6.67,8.049643835616438,8.05,8.19,7.86,8.26,0.3999999999999994,0.0781517958753575,0.279556426997051,1.86,-1.295789329490247,5.113971027717989,87,4.195402298850575,116,0.9628879229751255,225,0.7468276108687176,105,0.928802874555746,0.9060418411860922
재난안전,45_경찰청_전국 경찰서별 강력범죄 발생 현황_20231231.csv,절도,0,2936.0,0.0,728.5615384615385,657.0,57.0,171.5,1094.25,922.75,361033.7606771607,600.8608496791588,2936.0,0.93810973604954,0.7646559239398258,233,1.1158798283261802,151,0.9641341505628294,228,0.8125904657285841,108,0.8924038104733766,0.9051332775601992
환경기상,15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존무기인 표층,0,40.46,2.84,12.202061855670104,11.25,6.85,7.27,15.54,8.27,42.13299987113402,6.490993750662068,37.620000000000005,1.582975945347823,3.8915080595019593,95,1.0210526315789474,144,0.9559274472111796,230,0.8046745348329551,79,0.9023025230587475,0.9042268950745619
환경기상,15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,질산성질소 표층,0,649.82,6.37,85.62515463917525,47.98,28.05,36.48,81.37,44.89000000000001,11728.497331486256,108.29818711080188,643.45,3.243667841588952,11.82360755400434,95,1.0210526315789474,54,0.9615440753499074,229,0.7228197598609295,65,0.9361532152686816,0.9036428682196215
재난안전,44_경찰청_연도별 사이버 범죄 통계 현황_08_31_2020.csv,사이버금융범죄(스미싱),0,4917.0,32.0,692.5714285714286,250.0,207.0,125.25,640.75,515.5,1583661.4945054946,1258.4361304831862,4885.0,3.333809333840725,11.741396878197968,13,1.0769230769230769,53,0.9615425246971252,228,0.7181450737192329,67,0.9355191802571132,0.902453696725542
재난안전,67_행정안전부_상습 결빙구간_20231222.csv,기점 위도(WGS84(4326)),0,38.504489,19.69258578,36.54708221838349,36.786746,37.233803,35.584259,37.43343,1.8491709999999983,1.1682594459308664,1.080860511782564,18.81190322,-1.5560309265598096,18.653524745097307,2707,1.09235315847802,24,0.9564061011670321,28,0.6835692248216528,30,0.956973591391616,0.9020657219877899
재난안전,42_경찰청_범죄 발생 시간대 및 요일_20191231.csv,15시00분-17시59분,0,53506.0,6.0,4529.131578947368,250.5,55.0,55.0,2446.25,2391.25,111460192.65789476,10557.470940423882,53500.0,3.3710443773086403,12.735760312167145,37,1.027027027027027,52,0.9609426797365278,228,0.7161984790453411,67,0.9338293458601499,0.9011485060477393
재난안전,65_해양경찰청_해상조난사고 상세데이터 현황_20231231.csv,월별,0,12.0,1.0,6.780973451327434,7.0,9.0,4.0,9.0,5.0,10.484840753659393,3.238030381830812,11.0,-0.159840097878427,-1.0677740386318122,12,339.0,141,0.958431178460817,228,0.78479276938077,110,0.9009971811714702,0.900729897729069
재난안전,59_충청북도_재난대응용 배수펌프장 현황_20240830.csv,처리능력(m3_분),0,2800.0,20.0,432.1578947368421,300.0,300.0,148.0,470.0,322.0,368342.1403508772,606.9119708416347,2780.0,3.607937087119012,14.476213286145152,17,1.1176470588235294,43,0.9638644431820774,228,0.7013620263189813,64,0.9370492722737913,0.9006378914461438
환경기상,15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,염분 저층,0,34.25,25.71,32.563092783505155,32.86,34.11,31.79,33.72,1.93,2.227434085051546,1.4924590731579697,8.54,-1.553666860431686,3.695847330730713,84,1.1547619047619049,110,0.9590103182233837,224,0.7302406846947133,100,0.9272371313818675,0.9005471167810432
농업농촌,3_전국배수펌프장표준데이터.csv,경도,0,129.2061014,126.3005715983,127.82290008770777,128.0525753,126.7867332134,126.79783642275,128.84079695000003,2.042960527250017,1.0136868483402588,1.0068201668323191,2.9055298016999984,-0.0521444189835042,-1.7542653135875763,319,1.012539184952978,143,0.9609559509604437,232,0.7869095942081832,105,0.8965621576965783,0.9003891623044455
보건의료,105_질병관리청 국립마산병원_진료비 청구 현황_20230930.csv,인원(청구건수),0,419.0,0.0,88.08760683760684,58.0,19.0,32.0,121.25,89.25,6311.750338585992,79.44652502523941,419.0,1.3597069077787336,1.4108488155707444,193,2.424870466321244,154,0.9544889533299632,229,0.8062405950579072,70,0.8926692394039331,0.90011139610514
재난안전,42_경찰청_범죄 발생 시간대 및 요일_20191231.csv,18시00분-20시59분,0,58164.0,3.0,4618.5,232.0,66.0,41.5,3025.25,2983.75,120443451.06756756,10974.673164498685,58161.0,3.677358935626067,15.587803379284091,37,1.027027027027027,45,0.9579942874506241,228,0.6973897027022338,62,0.939248812831878,0.8983751806534477
보건의료,97_보건복지부_시도별 암 발생자 분포_20201231.csv,여자 암발생자수(명),0,120538.0,12.0,12042.673684210526,4742.0,3751.0,3032.5,7455.0,4422.5,632308732.8604702,25145.749797142063,120526.0,3.66437623196682,12.661327928013742,94,1.0106382978723405,45,0.9566231719081993,228,0.6983159035080491,60,0.9397034108506765,0.8981938138051603
보건의료,86_보건복지부_시도별 암 발생자 분포_20201231.csv,여자 암발생자수(명),0,120538.0,12.0,12042.673684210526,4742.0,3751.0,3032.5,7455.0,4422.5,632308732.8604702,25145.749797142063,120526.0,3.66437623196682,12.661327928013742,94,1.0106382978723405,45,0.9566231719081993,228,0.6983159035080491,60,0.9397034108506765,0.8981938138051603
보건의료,5-8_진료정보_천식_시도.csv,시도지역코드,0,99.0,11.0,40.34021823850351,42.0,11.0,29.0,46.0,17.0,320.9146157808134,17.91408986749853,88.0,1.7305713905801616,4.336779204912721,17,150.94117647058823,116,0.9573875591236596,230,0.7943464527336949,72,0.8893151354335715,0.8975503683696315
보건의료,5-10_진료정보_피부염_시도.csv,시도지역코드,0,99.0,11.0,40.34021823850351,42.0,11.0,29.0,46.0,17.0,320.9146157808134,17.91408986749853,88.0,1.7305713905801616,4.336779204912721,17,150.94117647058823,116,0.9573875591236596,230,0.7943464527336949,72,0.8893151354335715,0.8975503683696315
