년월,구분1,구분2,계(총계)(명),일반(총계)(명),기초(총계)(명),경감(총계)(명),의료(총계)(명),1등급(일반)(명),2등급(일반)(명),3등급(일반)(명),4등급(일반)(명),5등급(일반)(명),인지지원(일반)(명),1등급(기초)(명),2등급(기초)(명),3등급(기초)(명),4등급(기초)(명),5등급(기초)(명),인지지원(기초)(명),1등급(감경)(명),2등급(감경)(명),3등급(감경)(명),4등급(감경)(명),5등급(감경)(명),인지지원(감경)(명),1등급(의료)(명),2등급(의료)(명),3등급(의료)(명),4등급(의료)(명),5등급(의료)(명),인지지원(의료)(명)
2024-02,구입,욕창예방매트리스,4416,2014,590,1757,55,214,323,747,651,76,3,38,79,206,243,24,0,152,254,669,619,61,2,4,4,30,15,2,0
2024-02,구입,경사로(실내용),497,218,72,200,7,15,26,78,88,9,2,5,11,16,33,6,1,16,32,58,85,9,0,0,1,2,4,0,0
2024-02,대여,실제인원,218508,93160,42859,80091,2398,8065,13646,33546,34316,3404,183,1590,3515,12793,22364,2508,89,4929,10173,29051,32625,3185,128,120,284,891,1009,91,3
2024-02,대여,일반형 수동 휠체어,147923,64496,27516,54200,1711,5027,9466,23822,23649,2401,131,1075,2595,8975,13220,1578,73,2989,6997,20396,21491,2239,88,80,215,681,671,61,3
2024-02,대여,전동침대,112452,45839,24332,41122,1159,5423,8576,16282,14577,962,19,1049,2158,7003,13034,1081,7,3485,6507,14654,15532,928,16,77,171,391,489,31,0
2024-02,대여,수동침대,14,1,2,11,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,5,2,0,0,0,0,0,0,0,0
2024-02,대여,이동욕조,494,159,140,189,6,27,27,62,42,1,0,15,24,46,52,3,0,24,30,79,54,2,0,0,1,5,0,0,0
2024-02,대여,목욕리프트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02,대여,배회감지기,2212,1101,213,877,21,11,29,230,497,297,37,2,5,37,97,63,9,4,24,202,378,244,25,0,0,2,13,6,0
2024-02,대여,경사로(실외용),1017,393,200,406,18,68,74,135,101,15,0,19,32,65,72,10,2,36,83,137,128,20,2,1,3,8,6,0,0
2024-02,대여,욕창예방매트리스,6090,2830,1119,2068,73,804,719,770,500,35,2,195,232,377,301,13,1,448,545,619,434,20,2,22,16,24,11,0,0
2024-03,구입,실제인원,53438,23231,9611,20090,506,627,1608,6725,11713,2353,205,159,430,2165,5515,1255,87,485,1266,5730,10399,2075,135,5,31,143,272,53,2
2024-03,구입,이동변기,4846,2051,788,1952,55,18,126,576,1071,243,17,6,30,172,460,108,12,18,112,580,1011,221,10,0,2,15,32,5,1
2024-03,구입,목욕의자,7178,3188,1303,2631,56,34,150,827,1696,444,37,10,41,252,729,242,29,21,129,654,1437,364,26,0,2,13,30,10,1
2024-03,구입,지지용 손잡이 및 레일,13030,5775,2339,4809,107,53,283,1653,3075,655,56,14,91,484,1377,342,31,45,258,1257,2650,565,34,0,5,32,62,7,1
2024-03,구입,미끄럼방지용품,14664,5590,3435,5484,155,55,261,1545,3030,642,57,20,114,699,1993,561,48,40,265,1550,2954,631,44,0,9,52,76,17,1
2024-03,구입,(구)미끄럼방지양말,19981,7603,4868,7305,205,86,339,2181,4087,835,75,35,147,1018,2904,710,54,66,332,2088,3962,798,59,1,9,62,113,19,1
2024-03,구입,간이변기,1417,616,262,527,12,20,66,207,278,43,2,14,13,72,135,27,1,15,69,149,248,43,3,0,2,6,4,0,0
