시설명,소재지 도로명주소,위도,경도,데이터기준일자
대구국토관리사무소,대구광역시 북구 학정로1길 54 (태전동),35.91736468,128.5473722,2024-07-26
㈜홈센타,대구광역시 북구 노원로25길 65 (노원동3가),35.90173009,128.5697193,2024-07-26
까치주유소,대구광역시 북구 호국로 322 (서변동),35.93062827,128.5995489,2024-07-26
㈜비에스지,대구광역시 북구 3공단로48길 6 (노원동3가),35.90188797,128.5763088,2024-07-26
구도일주유소 대구,대구광역시 북구 매천로 153 (매천동),35.91087239,128.5420644,2024-07-26
칠곡제일주유소,대구광역시 북구 구리로 161 (국우동),35.94736206,128.5727332,2024-07-26
㈜금강주유소,대구광역시 북구 대학로 45 (산격동),35.89088031,128.6057058,2024-07-26
동서변주유소,대구광역시 북구 호국로 141 (서변동),35.91420072,128.5995646,2024-07-26
칠곡중앙대로 주유소 ,대구광역시 북구 칠곡중앙대로 120 (매천동),35.90629598,128.5477045,2024-07-26
주식회사 에너지영신,"대구광역시 북구 호국로 729 (학정동,외 1필지)",35.95123184,128.5698335,2024-07-26
SK에너지㈜칠곡IC주유소,대구광역시 북구 관음로 141 (관음동),35.94307196,128.5420186,2024-07-26
오일월드주유소,대구광역시 북구 칠곡중앙대로 25 (팔달동),35.89878586,128.5476958,2024-07-26
한국광유㈜ 칠곡매천주유소,대구광역시 북구 매천로 149 (매천동),35.91038179,128.5418827,2024-07-26
덕영주유소,대구광역시 북구 매천로 290 (태전동),35.92243575,128.5396443,2024-07-26
동로주유소,"대구광역시 북구 신천동로 714 (대현동,외 437-8번지)",35.88347158,128.60261,2024-07-26
㈜신기석유,대구광역시 북구 3공단로 8 (노원동3가),35.89261153,128.5542077,2024-07-26
대구주선합동터미널주유소,대구광역시 북구 서재로 540 (금호동),35.88625551,128.5302648,2024-07-26
산동주유소,대구광역시 북구 노원로 28 (노원동3가),35.89155533,128.566052,2024-07-26
케이케이㈜침산물류센타,대구광역시 북구 노원로 255 (침산동),35.90126928,128.5877135,2024-07-26
주식회사 화랑,대구광역시 북구 검단공단로21길 54-42 (산격동),35.91189445,128.6059491,2024-07-26
화성제2주유소,"대구광역시 북구 사수로 523 (팔달동,외 3필지)",35.89475277,128.5339748,2024-07-26
칠곡경북대학교병원,대구광역시 북구 호국로 807 (학정동),35.95614602,128.5652788,2024-07-26
패밀리주유소,대구광역시 북구 칠곡중앙대로 146 (태전동),35.90872826,128.5486198,2024-07-26
주식회사 대일종합에너지,대구광역시 북구 팔달로 39 (노원동3가),35.89138231,128.5549223,2024-07-26
에이치디현대오일뱅크㈜직영 금호셀프주유소,대구광역시 북구 사수로 436 (금호동),35.89537134,128.525634,2024-07-26
미니주유소,대구광역시 북구 침산남로 224 (침산동),35.88617783,128.5999446,2024-07-26
조광페인트㈜대구영업소,대구광역시 북구 오봉로21길 8 (노원동3가),35.89691372,128.5777045,2024-07-26
유경북부지사,대구광역시 북구 연암로42길 42-8 (산격동),35.90374994,128.6007633,2024-07-26
"육군제6755부대공병대대,정비근무대",대구광역시 북구 구리로 183-28(학정동),35.94949929,128.5717287,2024-07-26
리더스셀프주유소,대구광역시 북구 호국로 814 (학정동),35.95823497,128.5662164,2024-07-26
경상북도 농업기술원,대구광역시 북구 칠곡중앙대로136길 47 (동호동),35.95811518,128.560817,2024-07-26
육군제8251부대,대구광역시 북구 구리로 183-28(학정동),35.94949929,128.5717287,2024-07-26
천지주유소,대구광역시 북구 사수로 369 (금호동),35.89626043,128.5215703,2024-07-26
㈜태산이앤엘 양지셀프주유소,대구광역시 북구 관음로 211 (읍내동),35.565215,128.324877,2024-07-26
주식회사 북대구아이씨주유소,대구광역시 북구 동북로 113 (산격동),35.90228876,128.6063555,2024-07-26
대현주유소,대구광역시 북구 대학로 16 (산격동),35.88884496,128.6034357,2024-07-26
대한송유관공사 영남지사,대구광역시 동구 대경로 31-27 (내곡동),35.88034846,128.757459,2024-07-26
현대윤활유,대구광역시 북구 3공단로 144-1 (노원동3가),35.89831158,128.5676114,2024-07-26
㈜에이치씨 대하에너지 연경주유소,대구광역시 북구 동화천로 207 (연경동),35.94160002,128.6137371,2024-07-26
