진료년도,시도,시군구,환자수,명세서청구건수,입내원일수,요양급여비용총액,보험자부담금
2023,경기,수원장안구,489640,4262370,4630946,231356056680,173384103690
2023,경기,수원팔달구,870718,6522263,7224006,773414440800,594171269600
2023,경기,수원영통구,1094261,8239833,9035236,930939406440,722545097310
2023,경기,안양만안구,388595,3701003,4043026,264858360220,199680560840
2023,경기,안양동안구,805007,7525106,7937231,675050742320,512025301770
2023,경기,의정부시,783316,8852623,9773501,839241480850,644411504270
2023,경기,과천시,117749,978767,978031,34320904860,25145444670
2023,경기,구리시,427197,3992350,4453344,373361104920,288736084150
2023,경기,안산단원구,747166,7259064,8360479,766623253940,584327106530
2023,경기,안산상록구,432293,3868444,4276510,229249441970,169411430380
2023,경기,평택시,887001,9845046,10471782,665696362480,493498162240
2023,경기,하남시,470917,5069025,5417741,280615308610,210189522740
2023,경기,군포시,420312,4446608,4754044,300645695160,228152364180
2023,경기,남양주시,915084,10515005,11349880,640894809670,480705671530
2023,경기,의왕시,233792,1785680,2131798,106487500910,80024132600
2023,경기,시흥시,751763,8278816,9034876,539959263060,401858363170
2023,경기,오산시,387446,3685739,3991276,231438295810,172699602710
2023,경기,고양덕양구,695973,7507706,8075049,512906725610,390699793000
2023,경기,고양일산서구,599031,5400427,5879011,445014267860,341270802050
2023,경기,고양일산동구,833019,6563965,7886349,1034648233210,835679591060
2023,경기,용인기흥구,732512,6405338,7254831,547400177270,420817827710
2023,경기,용인수지구,564340,5178555,5435892,263686325810,197135756010
2023,경기,용인처인구,365021,3536102,3904946,247406570820,185951194840
2023,경기,이천시,337628,3548081,3783727,196818222270,146943919470
2023,경기,파주시,647763,7189459,7997876,434336495320,322748354810
2023,경기,김포시,687671,7932415,8530645,531357552080,399785146010
2023,경기,안성시,274754,2846519,3117776,155097732400,114147225890
2023,경기,화성시,1422828,14223358,14958711,925438995240,700251442340
2023,경기,광주시,458531,4860930,5263868,283145205940,210176517810
2023,경기,양주시,333706,3367169,3695387,175808545570,131502115160
2023,경기,포천시,201156,1958561,2108584,114300509040,84112565070
2023,경기,여주시,143636,1632397,1899617,95846355450,70938925670
2023,강원,고성군,24791,239626,239363,6346486230,4851094970
2023,강원,양구군,25289,225307,233687,7894647650,5940527500
2023,강원,양양군,29864,220476,220159,5851942620,4452202800
2023,강원,영월군,48282,442299,457054,21334497730,15735594970
2023,강원,인제군,35733,314688,317979,9244538380,6747298800
2023,강원,정선군,38313,305426,304594,11720018910,8593133700
2023,강원,철원군,52357,511713,544345,21644084720,16257410730
2023,강원,평창군,51992,393886,414405,14108788600,10592207480
2023,강원,홍천군,89487,939575,999824,46921427560,34733694160
2023,강원,화천군,26835,207091,206921,4943749120,3783806440
2023,강원,횡성군,55452,543755,571183,25316400270,19043322790
2023,강원,강릉시,379293,3913250,4320323,429783013270,328139996100
2023,강원,동해시,130829,1535935,1681897,81665603960,60529893900
2023,강원,속초시,169717,1633290,1766380,94920867910,69371762910
2023,강원,원주시,557981,6630476,7461351,692263864930,531433963170
