날짜,시도지역코드,발생건수(건)
2023-10-21,11.0,2590.0
2023-10-21,26.0,896.0
2023-10-21,27.0,767.0
2023-10-21,28.0,1055.0
2023-10-21,29.0,600.0
2023-10-21,30.0,459.0
2023-10-21,31.0,329.0
2023-10-21,41.0,4191.0
2023-10-21,42.0,0.0
2023-10-21,43.0,556.0
2023-10-21,44.0,1153.0
2023-10-21,45.0,582.0
2023-10-21,46.0,686.0
2023-10-21,47.0,726.0
2023-10-21,48.0,1130.0
2023-10-21,49.0,195.0
2023-10-21,99.0,16237.0
2023-10-22,11.0,292.0
2023-10-22,26.0,66.0
2023-10-22,27.0,86.0
2023-10-22,28.0,259.0
2023-10-22,29.0,57.0
2023-10-22,30.0,108.0
2023-10-22,31.0,18.0
2023-10-22,41.0,980.0
2023-10-22,43.0,98.0
2023-10-22,44.0,250.0
2023-10-22,45.0,105.0
2023-10-22,46.0,119.0
2023-10-22,47.0,93.0
2023-10-22,48.0,202.0
2023-10-22,49.0,24.0
2023-10-22,99.0,2805.0
2023-10-23,11.0,5156.0
2023-10-23,26.0,1822.0
2023-10-23,27.0,1297.0
2023-10-23,28.0,1788.0
2023-10-23,29.0,1030.0
2023-10-23,30.0,807.0
2023-10-23,31.0,620.0
2023-10-23,41.0,7498.0
2023-10-23,42.0,1.0
2023-10-23,43.0,1036.0
2023-10-23,44.0,1876.0
2023-10-23,45.0,1367.0
2023-10-23,46.0,1386.0
2023-10-23,47.0,1538.0
2023-10-23,48.0,2056.0
2023-10-23,49.0,452.0
2023-10-23,99.0,30540.0
2023-10-24,11.0,3967.0
2023-10-24,26.0,1425.0
2023-10-24,27.0,1018.0
2023-10-24,28.0,1366.0
2023-10-24,29.0,744.0
2023-10-24,30.0,667.0
2023-10-24,31.0,475.0
2023-10-24,41.0,5510.0
2023-10-24,42.0,0.0
2023-10-24,43.0,823.0
2023-10-24,44.0,1400.0
2023-10-24,45.0,1007.0
2023-10-24,46.0,1050.0
2023-10-24,47.0,1222.0
2023-10-24,48.0,1431.0
2023-10-24,49.0,309.0
2023-10-24,99.0,23117.0
2023-10-25,11.0,3656.0
2023-10-25,26.0,1345.0
2023-10-25,27.0,962.0
2023-10-25,28.0,1263.0
2023-10-25,29.0,607.0
2023-10-25,30.0,571.0
2023-10-25,31.0,439.0
2023-10-25,41.0,5021.0
2023-10-25,42.0,0.0
2023-10-25,43.0,738.0
2023-10-25,44.0,1139.0
2023-10-25,45.0,904.0
2023-10-25,46.0,874.0
2023-10-25,47.0,1107.0
2023-10-25,48.0,1314.0
2023-10-25,49.0,205.0
2023-10-25,99.0,20685.0
2023-10-26,11.0,3702.0
2023-10-26,26.0,1355.0
2023-10-26,27.0,991.0
2023-10-26,28.0,1258.0
2023-10-26,29.0,743.0
2023-10-26,30.0,594.0
2023-10-26,31.0,466.0
2023-10-26,41.0,5434.0
2023-10-26,42.0,0.0
2023-10-26,43.0,804.0
2023-10-26,44.0,1364.0
2023-10-26,45.0,947.0
2023-10-26,46.0,991.0
2023-10-26,47.0,1181.0
2023-10-26,48.0,1358.0
2023-10-26,49.0,315.0
2023-10-26,99.0,22100.0
2023-10-27,11.0,4077.0
2023-10-27,26.0,1442.0
2023-10-27,27.0,1055.0
2023-10-27,28.0,1514.0
2023-10-27,29.0,801.0
2023-10-27,30.0,597.0
2023-10-27,31.0,491.0
