신고일시,접수일시,수계,지원여부,주소,상세주소,등록일시,수정일자,삭제여부,첨부파일,등록기관
2012-07-18 0:00,2012-07-18 0:00,낙동강,Y,경상북도 칠곡군 지천면 송정리,,,,N,,1.0
2012-08-20 0:00,2012-08-20 0:00,영산강,Y,전라남도 담양군 담양읍,,,,N,,1.0
2012-08-28 0:00,2012-08-28 0:00,영산강,Y,전라남도 담양군 담양읍,,,,N,,1.0
2012-08-28 0:00,2012-08-28 0:00,낙동강,Y,경상남도 창원시 의창구 대산면 모산리,,,,N,,1.0
2012-09-07 0:00,2012-09-07 0:00,금강,Y,대전광역시 유성구 봉명동,,,,N,,1.0
2012-09-11 0:00,2012-09-11 0:00,낙동강,Y,경상북도 상주시 도남동,,,,N,,1.0
2012-09-12 0:00,2012-09-12 0:00,낙동강,Y,경상남도 밀양시 하남읍 명례리,,,,N,,1.0
2012-09-15 0:00,2012-09-15 0:00,금강,Y,세종특별자치시 장군면 금암리,,,,N,,1.0
2012-09-20 0:00,2012-09-20 0:00,낙동강,Y,경상남도 함안군 칠북면 봉촌리,,,,N,,1.0
2012-10-19 0:00,2012-10-19 0:00,금강,Y,충청남도 부여군 부여읍 자왕리,,,,N,,1.0
2012-10-24 0:00,2012-10-24 0:00,낙동강,Y,경상북도 구미시 임수동 낙동강,,,,N,,1.0
2012-11-01 0:00,2012-11-01 0:00,금강,Y,대전광역시 유성구 봉명동,,,,N,,1.0
2012-11-08 0:00,2012-11-08 0:00,한강,N,서울특별시 동작구 본동,,,,N,,1.0
2012-11-12 0:00,2012-11-12 0:00,한강,N,강원도 횡성군 우천면 우항리,,,,N,,1.0
2012-11-19 0:00,2012-11-19 0:00,낙동강,Y,경상남도 김해시 생림면 마사리,,,,N,,1.0
2012-11-28 0:00,2012-11-28 0:00,영산강,Y,전라남도 나주시 노안면,,,,N,,1.0
2012-12-24 0:00,2012-12-24 0:00,금강,Y,세종특별자치시 전의면 신정리,,,,N,,1.0
2012-12-25 0:00,2012-12-25 0:00,금강,Y,대전광역시 서구 도안동,,,,N,,1.0
2013-01-12 0:00,2013-01-12 0:00,낙동강,Y,경북 상주시 청리면 마공리,,,,N,,1.0
2013-01-16 0:00,2013-01-16 0:00,낙동강,N,경상남도 김해시 한림면 시산리,,,,N,,1.0
2013-01-22 0:00,2013-01-22 0:00,낙동강,Y,경상남도 창원시 의창구 대산면 모산리,,,,N,,1.0
2013-01-28 0:00,2013-01-28 0:00,한강,Y,경기도 화성시 반월동,,,,N,,1.0
2013-01-30 0:00,2013-01-30 0:00,한강,Y,경기 화성시 팔탄면 구장리,,,,N,,1.0
2013-02-01 0:00,2013-02-01 0:00,한강,Y,경기도 남양주시 화도읍 창현리,,,,N,,1.0
2013-02-06 0:00,2013-02-06 0:00,낙동강,Y,경상북도 구미시 선산읍 생곡리,,,,N,,1.0
2013-02-07 0:00,2013-02-07 0:00,낙동강,Y,경상북도 칠곡군 지천면 송정리,,,,N,,1.0
2013-02-13 0:00,2013-02-13 0:00,한강,,경기도 화성시 반월동,,,,N,,1.0
2013-02-25 0:00,2013-02-25 0:00,낙동강,Y,경상남도 김해시 상동면 매리,,,,N,,1.0
2013-02-25 0:00,2013-02-25 0:00,한강,Y,경기도 하남시 당정동,,,,N,,1.0
2013-02-26 0:00,2013-02-26 0:00,영산강,N,전라남도 나주시 다시면 죽산리,,,,N,,1.0
2013-03-07 0:00,2013-03-07 0:00,낙동강,N,경상북도 구미시 오태동,,,,N,,1.0
2013-03-09 0:00,2013-03-09 0:00,낙동강,N,대구광역시 달성군 현풍면 자모리,,,,N,,1.0
2013-03-10 0:00,2013-03-10 0:00,한강,Y,경기도 의정부시 고산동,,,,N,,1.0
2013-03-25 0:00,2013-03-25 0:00,금강,Y,충청북도 보은군 보은읍 장신리,,,,N,,1.0
2013-04-08 0:00,2013-04-08 0:00,낙동강,Y,경상북도 상주시 도남동,,,,N,,1.0
2013-04-11 0:00,2013-04-11 0:00,낙동강,N,대구광역시 달성군 화원읍 설화리,,,,N,,1.0
2013-04-18 0:00,2013-04-18 0:00,낙동강,Y,경상북도 성주군 선남면 선원리,,,,N,,1.0
2013-04-22 0:00,2013-04-22 0:00,한강,Y,경기도 양평군 옥천면 아신리,,,,N,,1.0
2013-04-23 0:00,2013-04-23 0:00,영산강,Y,전라남도 화순군 화순읍 앵남리,,,,N,,1.0
2013-05-02 0:00,2013-05-02 0:00,한강,N,경기도 화성시 반월동,,,,N,,1.0
2013-05-03 0:00,2013-05-03 0:00,한강,N,경기도 연천군 청산면 대전리,,,,N,,1.0
2013-05-09 0:00,2013-05-09 0:00,낙동강,Y,경상북도 안동시 임하면 천전리,,,,N,,1.0
2013-05-10 0:00,2013-05-10 0:00,금강,Y,충청남도 논산시 가야곡면 야촌리,,,,N,,1.0
2013-05-10 0:00,2013-05-10 0:00,한강,N,경기도 안성시 일죽면 방초리,,,,N,,1.0
2013-05-13 0:00,2013-05-13 0:00,낙동강,Y,경상북도 영천시 금호읍,,,,N,,1.0
2013-05-18 0:00,2013-05-18 0:00,한강,N,경기도 시흥시 정왕동,,,,N,,1.0
2013-05-19 0:00,2013-05-19 0:00,영산강,Y,전라남도 담양군 고서면 동운리,,,,N,,1.0
2013-05-19 0:00,2013-05-19 0:00,낙동강,N,경상북도 영천시 금호읍,,,,N,,1.0
2013-05-25 0:00,2013-05-25 0:00,금강,Y,충청남도 부여군 규암면 호암리,,,,N,,1.0
2013-05-28 0:00,2013-05-28 0:00,낙동강,Y,대구광역시 달성군 다사읍 죽곡리,,,,N,,1.0
2013-05-30 0:00,2013-05-30 0:00,낙동강,N,부산광역시 강서구 대저1동,,,,N,,1.0
2013-06-04 0:00,2013-06-04 0:00,낙동강,N,대구광역시 달성군 화원읍 성산리,,,,N,,1.0
2013-06-09 0:00,2013-06-09 0:00,영산강,N,전라남도 화순군 화순읍 내평리,,,,N,,1.0
2013-06-25 0:00,2013-06-25 0:00,낙동강,N,경상북도 구미시 신평동,,,,N,,1.0
2013-06-26 0:00,2013-06-26 0:00,낙동강,Y,경상북도 칠곡군 지천면 연화리,,,,N,,1.0
2013-06-27 0:00,2013-06-27 0:00,금강,Y,충청북도 청주시 흥덕구 송정동,,,,N,,1.0
2013-06-30 0:00,2013-06-30 0:00,금강,Y,충청북도 청주시 흥덕구 송정동,,,,N,,1.0
2013-07-04 0:00,2013-07-04 0:00,한강,N,경기도 화성시 송산면 고정리,,,,N,,1.0
2013-07-12 0:00,2013-07-12 0:00,낙동강,Y,경상북도 고령군 우곡면 포리,,,,N,,1.0
2013-07-15 0:00,2013-07-15 0:00,낙동강,N,대구 달성군 화원읍 성산리,,,,N,,1.0
2013-08-04 0:00,2013-08-04 0:00,한강,Y,경기도 양주시 남면 한산리,,,,N,,1.0
2013-08-04 0:00,2013-08-04 0:00,영산강,N,광주광역시 서구 서창동,,,,N,,1.0
2013-08-05 0:00,2013-08-05 0:00,한강,Y,경기도 남양주시 진건읍,,,,N,,1.0
2013-08-13 0:00,2013-08-13 0:00,영산강,Y,전라남도 나주시 안창동,,,,N,,1.0
2013-08-14 0:00,2013-08-14 0:00,영산강,Y,광주광역시 광산구 신촌동,,,,N,,1.0
2013-08-21 0:00,2013-08-21 0:00,한강,Y,경기도 남양주시 퇴계원면,,,,N,,1.0
2013-08-30 0:00,2013-08-30 0:00,영산강,Y,광주광역시 광산구 황룡동,,,,N,,1.0
2013-09-04 0:00,2013-09-04 0:00,한강,N,서울특별시 용산구 이촌동,,,,N,,1.0
