날짜,시도지역코드,발생건수(건)
2023-10-01,11.0,17218.0
2023-10-01,26.0,5699.0
2023-10-01,27.0,3590.0
2023-10-01,28.0,7524.0
2023-10-01,29.0,3044.0
2023-10-01,30.0,4936.0
2023-10-01,31.0,1817.0
2023-10-01,41.0,39498.0
2023-10-01,42.0,1.0
2023-10-01,43.0,4406.0
2023-10-01,44.0,6499.0
2023-10-01,45.0,3440.0
2023-10-01,46.0,4228.0
2023-10-01,47.0,3880.0
2023-10-01,48.0,5921.0
2023-10-01,49.0,1700.0
2023-10-01,99.0,115842.0
2023-10-02,11.0,71367.0
2023-10-02,26.0,30697.0
2023-10-02,27.0,23872.0
2023-10-02,28.0,29261.0
2023-10-02,29.0,14440.0
2023-10-02,30.0,15116.0
2023-10-02,31.0,11460.0
2023-10-02,41.0,132841.0
2023-10-02,42.0,2.0
2023-10-02,43.0,14011.0
2023-10-02,44.0,24823.0
2023-10-02,45.0,14757.0
2023-10-02,46.0,15771.0
2023-10-02,47.0,21382.0
2023-10-02,48.0,33202.0
2023-10-02,49.0,5085.0
2023-10-02,99.0,467202.0
2023-10-03,11.0,25045.0
2023-10-03,26.0,8367.0
2023-10-03,27.0,7328.0
2023-10-03,28.0,11307.0
2023-10-03,29.0,5198.0
2023-10-03,30.0,8096.0
2023-10-03,31.0,4234.0
2023-10-03,41.0,61343.0
2023-10-03,42.0,0.0
2023-10-03,43.0,6819.0
2023-10-03,44.0,11566.0
2023-10-03,45.0,5569.0
2023-10-03,46.0,6455.0
2023-10-03,47.0,7223.0
2023-10-03,48.0,10882.0
2023-10-03,49.0,2605.0
2023-10-03,99.0,185873.0
2023-10-04,11.0,123123.0
2023-10-04,26.0,44781.0
2023-10-04,27.0,31051.0
2023-10-04,28.0,43792.0
2023-10-04,29.0,18961.0
2023-10-04,30.0,20670.0
2023-10-04,31.0,15393.0
2023-10-04,41.0,198462.0
2023-10-04,42.0,5.0
2023-10-04,43.0,20762.0
2023-10-04,44.0,34855.0
2023-10-04,45.0,23008.0
2023-10-04,46.0,21231.0
2023-10-04,47.0,31653.0
2023-10-04,48.0,41123.0
2023-10-04,49.0,7408.0
2023-10-04,99.0,694384.0
2023-10-05,11.0,93905.0
2023-10-05,26.0,33966.0
2023-10-05,27.0,24421.0
2023-10-05,28.0,33275.0
2023-10-05,29.0,14894.0
2023-10-05,30.0,16879.0
2023-10-05,31.0,11603.0
2023-10-05,41.0,157171.0
2023-10-05,42.0,2.0
2023-10-05,43.0,16821.0
2023-10-05,44.0,27233.0
2023-10-05,45.0,18028.0
2023-10-05,46.0,16948.0
2023-10-05,47.0,23760.0
2023-10-05,48.0,32443.0
2023-10-05,49.0,6421.0
2023-10-05,99.0,541933.0
2023-10-06,11.0,102529.0
2023-10-06,26.0,37354.0
2023-10-06,27.0,26490.0
2023-10-06,28.0,35830.0
2023-10-06,29.0,15922.0
2023-10-06,30.0,17668.0
2023-10-06,31.0,12690.0
2023-10-06,41.0,167885.0
2023-10-06,42.0,1.0
2023-10-06,43.0,17475.0
2023-10-06,44.0,28781.0
2023-10-06,45.0,19662.0
2023-10-06,46.0,18031.0
2023-10-06,47.0,25931.0
2023-10-06,48.0,35366.0
2023-10-06,49.0,6515.0
2023-10-06,99.0,583014.0
2023-10-07,11.0,84461.0
2023-10-07,26.0,30092.0
2023-10-07,27.0,21558.0
2023-10-07,28.0,29683.0
2023-10-07,29.0,13672.0
2023-10-07,30.0,15075.0
2023-10-07,31.0,9859.0
2023-10-07,41.0,138847.0
2023-10-07,42.0,2.0
2023-10-07,43.0,14060.0
2023-10-07,44.0,23569.0
2023-10-07,45.0,14752.0
2023-10-07,46.0,14358.0
2023-10-07,47.0,19348.0
2023-10-07,48.0,28633.0
2023-10-07,49.0,5177.0
2023-10-07,99.0,473559.0
2023-10-08,11.0,12309.0
2023-10-08,26.0,4148.0
2023-10-08,27.0,2581.0
2023-10-08,28.0,5203.0
2023-10-08,29.0,2169.0
2023-10-08,30.0,4103.0
2023-10-08,31.0,1673.0
2023-10-08,41.0,31044.0
2023-10-08,43.0,3516.0
2023-10-08,44.0,5175.0
2023-10-08,45.0,2597.0
2023-10-08,46.0,3065.0
2023-10-08,47.0,3001.0
2023-10-08,48.0,4081.0
2023-10-08,49.0,1445.0
2023-10-08,99.0,87822.0
2023-10-09,11.0,23253.0
2023-10-09,26.0,8953.0
2023-10-09,27.0,7481.0
2023-10-09,28.0,11035.0
2023-10-09,29.0,4858.0
2023-10-09,30.0,7624.0
2023-10-09,31.0,3855.0
2023-10-09,41.0,55131.0
2023-10-09,42.0,0.0
2023-10-09,43.0,6000.0
2023-10-09,44.0,10034.0
2023-10-09,45.0,5199.0
2023-10-09,46.0,5412.0
2023-10-09,47.0,7630.0
2023-10-09,48.0,10931.0
2023-10-09,49.0,2220.0
2023-10-09,99.0,172903.0
2023-10-10,11.0,124120.0
2023-10-10,26.0,43327.0
2023-10-10,27.0,30781.0
2023-10-10,28.0,41853.0
2023-10-10,29.0,18373.0
2023-10-10,30.0,20357.0
2023-10-10,31.0,14348.0
2023-10-10,41.0,196244.0
2023-10-10,42.0,2.0
2023-10-10,43.0,20696.0
2023-10-10,44.0,33583.0
2023-10-10,45.0,23145.0
2023-10-10,46.0,20826.0
2023-10-10,47.0,30542.0
2023-10-10,48.0,39956.0
2023-10-10,49.0,7591.0
2023-10-10,99.0,684117.0
2023-10-11,11.0,80942.0
2023-10-11,26.0,28264.0
2023-10-11,27.0,20001.0
2023-10-11,28.0,27469.0
2023-10-11,29.0,11764.0
2023-10-11,30.0,14184.0
2023-10-11,31.0,9527.0
2023-10-11,41.0,131400.0
2023-10-11,42.0,3.0
2023-10-11,43.0,13762.0
2023-10-11,44.0,22649.0
2023-10-11,45.0,14513.0
2023-10-11,46.0,13801.0
2023-10-11,47.0,19832.0
2023-10-11,48.0,26516.0
2023-10-11,49.0,5067.0
2023-10-11,99.0,451126.0
2023-10-12,11.0,79761.0
2023-10-12,26.0,28370.0
2023-10-12,27.0,20273.0
2023-10-12,28.0,27643.0
2023-10-12,29.0,12083.0
2023-10-12,30.0,14409.0
2023-10-12,31.0,9329.0
2023-10-12,41.0,132291.0
2023-10-12,42.0,1.0
2023-10-12,43.0,13931.0
2023-10-12,44.0,23094.0
2023-10-12,45.0,14997.0
2023-10-12,46.0,13824.0
2023-10-12,47.0,19518.0
2023-10-12,48.0,26893.0
2023-10-12,49.0,5085.0
2023-10-12,99.0,453359.0
2023-10-13,11.0,95561.0
2023-10-13,26.0,33017.0
2023-10-13,27.0,23775.0
2023-10-13,28.0,31578.0
2023-10-13,29.0,14449.0
2023-10-13,30.0,15899.0
2023-10-13,31.0,11314.0
2023-10-13,41.0,154308.0
2023-10-13,42.0,2.0
2023-10-13,43.0,16309.0
2023-10-13,44.0,26311.0
2023-10-13,45.0,18173.0
2023-10-13,46.0,15475.0
2023-10-13,47.0,22815.0
2023-10-13,48.0,31868.0
2023-10-13,49.0,5990.0
2023-10-13,99.0,530394.0
2023-10-14,11.0,73399.0
2023-10-14,26.0,24824.0
2023-10-14,27.0,18172.0
2023-10-14,28.0,24869.0
2023-10-14,29.0,12025.0
2023-10-14,30.0,13210.0
2023-10-14,31.0,8424.0
2023-10-14,41.0,122849.0
2023-10-14,42.0,0.0
2023-10-14,43.0,12619.0
