조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로로필 표층,클로로필 저층,투명도 표층
2021,남해,제주항,20.75,20.32,32.64,32.86,8.24,8.24,7.59,8.15,1.2,1.68,5.72,4.81,3.08,2.82,53.87,44.59,62.67,52.22,117.47,149.9,5.19,4.91,11.24,11.04,170.8,158.87,22.5,26.2,1.13,0.9,8.05
2021,남해,성산항,20.58,20.52,32.42,32.42,8.3,8.29,9.19,9.03,1.6,2.02,12.29,15.21,4.17,3.15,59.86,42.84,76.31,61.2,185.48,186.28,5.32,4.23,19.41,17.45,192.53,187.29,24.13,18.93,2.54,2.44,3.5
2021,남해,서귀포항,19.63,19.43,31.93,32.12,8.19,8.2,8.84,7.71,1.16,1.79,15.13,10.12,5.16,4.34,649.82,78.33,670.1,92.79,811.71,205.51,17.72,8.84,30.59,22.75,1454.52,382.11,17.84,26.45,1.4,2.19,6.88
2021,남해,한림항,19.76,19.58,32.65,32.72,8.3,8.24,9.34,8.36,1.7,1.79,23.27,19.82,3.91,3.86,170.22,102.72,197.39,126.4,585.26,342.28,5.11,7.84,19.46,17.66,210.85,268.41,28.14,23.1,3.0,5.86,3.5
2021,남해,완도항,18.19,17.64,31.5,32.27,8.03,8.03,7.61,7.31,1.86,1.98,30.94,45.06,8.87,8.73,67.99,50.91,107.8,104.69,241.0,239.44,14.63,14.91,31.7,34.78,255.47,285.18,9.47,19.45,1.85,1.69,1.75
2021,서해,목포항,17.14,16.83,27.95,29.38,8.06,8.04,9.34,9.24,1.52,1.78,63.11,73.6,21.38,14.33,260.73,191.68,345.22,279.61,463.49,401.32,15.62,16.02,35.24,32.92,314.44,295.62,8.4,10.73,2.51,2.24,2.38
2021,서해,대천항,15.82,15.9,31.35,31.39,7.95,8.01,8.79,8.5,1.5,1.98,36.45,26.45,3.46,3.31,28.06,27.97,67.96,57.73,268.0,242.99,16.65,16.54,27.64,28.35,294.83,287.77,7.0,10.25,1.17,1.32,2.65
2021,서해,평택항,15.18,14.76,28.95,29.74,8.14,8.08,10.74,9.81,2.49,2.14,27.94,45.25,8.47,8.26,78.52,70.28,114.92,123.78,491.84,388.84,21.78,22.27,44.24,46.7,124.95,170.6,12.2,14.3,8.34,7.08,2.2
2021,서해,인천항,15.5,14.93,28.78,29.67,7.93,7.98,8.25,8.07,2.29,1.77,275.58,200.11,25.42,15.68,374.02,261.41,675.02,477.2,746.25,550.58,40.46,43.87,55.06,53.03,640.98,598.53,12.0,16.35,2.5,0.9,1.2
2021,서해,섬진강,18.25,18.27,24.15,25.71,8.03,8.0,8.04,7.7,2.38,2.59,79.86,77.73,15.3,15.74,420.34,273.38,515.5,366.85,662.67,502.64,23.24,23.6,42.14,43.31,1323.27,1097.81,11.32,16.96,4.22,3.47,2.17
2021,남해,낙동강하구,17.82,17.65,23.47,29.57,8.23,8.13,8.88,7.76,2.58,2.51,73.97,77.17,29.06,13.88,569.82,220.64,672.83,311.68,830.17,489.85,12.69,16.18,33.19,49.49,487.59,569.11,9.59,14.56,5.38,5.4,2.01
