날짜,시도지역코드,발생건수(건)
2023-10-06,47.0,2834.0
2023-10-06,48.0,3290.0
2023-10-06,49.0,851.0
2023-10-06,99.0,54046.0
2023-10-07,11.0,6508.0
2023-10-07,26.0,2244.0
2023-10-07,27.0,1885.0
2023-10-07,28.0,1771.0
2023-10-07,29.0,837.0
2023-10-07,30.0,1007.0
2023-10-07,31.0,568.0
2023-10-07,41.0,9623.0
2023-10-07,42.0,0.0
2023-10-07,43.0,991.0
2023-10-07,44.0,1468.0
2023-10-07,45.0,1401.0
2023-10-07,46.0,1160.0
2023-10-07,47.0,1673.0
2023-10-07,48.0,2204.0
2023-10-07,49.0,420.0
2023-10-07,99.0,34553.0
2023-10-08,11.0,383.0
2023-10-08,26.0,65.0
2023-10-08,27.0,67.0
2023-10-08,28.0,104.0
2023-10-08,29.0,68.0
2023-10-08,30.0,45.0
2023-10-08,31.0,30.0
2023-10-08,41.0,799.0
2023-10-08,43.0,28.0
2023-10-08,44.0,72.0
2023-10-08,45.0,52.0
2023-10-08,46.0,56.0
2023-10-08,47.0,57.0
2023-10-08,48.0,95.0
2023-10-08,49.0,111.0
2023-10-08,99.0,2063.0
2023-10-09,11.0,700.0
2023-10-09,26.0,425.0
2023-10-09,27.0,289.0
2023-10-09,28.0,346.0
2023-10-09,29.0,113.0
2023-10-09,30.0,178.0
2023-10-09,31.0,130.0
2023-10-09,41.0,1276.0
2023-10-09,42.0,0.0
2023-10-09,43.0,172.0
2023-10-09,44.0,168.0
2023-10-09,45.0,225.0
2023-10-09,46.0,177.0
2023-10-09,47.0,267.0
2023-10-09,48.0,433.0
2023-10-09,49.0,98.0
2023-10-09,99.0,5062.0
2023-10-10,11.0,10992.0
2023-10-10,26.0,4009.0
2023-10-10,27.0,3238.0
2023-10-10,28.0,2881.0
2023-10-10,29.0,1529.0
2023-10-10,30.0,1716.0
2023-10-10,31.0,1064.0
2023-10-10,41.0,15551.0
2023-10-10,42.0,0.0
2023-10-10,43.0,1710.0
2023-10-10,44.0,2671.0
2023-10-10,45.0,2499.0
2023-10-10,46.0,2150.0
2023-10-10,47.0,3121.0
2023-10-10,48.0,3488.0
2023-10-10,49.0,1034.0
2023-10-10,99.0,59384.0
2023-10-11,11.0,8277.0
2023-10-11,26.0,3028.0
2023-10-11,27.0,2583.0
2023-10-11,28.0,2232.0
2023-10-11,29.0,1014.0
2023-10-11,30.0,1326.0
2023-10-11,31.0,665.0
2023-10-11,41.0,11176.0
2023-10-11,42.0,1.0
2023-10-11,43.0,1320.0
2023-10-11,44.0,1971.0
2023-10-11,45.0,1883.0
2023-10-11,46.0,1481.0
2023-10-11,47.0,2316.0
2023-10-11,48.0,2716.0
2023-10-11,49.0,818.0
2023-10-11,99.0,44107.0
2023-10-12,11.0,7786.0
2023-10-12,26.0,2936.0
2023-10-12,27.0,2391.0
2023-10-12,28.0,2076.0
2023-10-12,29.0,1012.0
2023-10-12,30.0,1238.0
2023-10-12,31.0,686.0
2023-10-12,41.0,11024.0
2023-10-12,42.0,0.0
2023-10-12,43.0,1211.0
2023-10-12,44.0,2006.0
2023-10-12,45.0,1918.0
2023-10-12,46.0,1596.0
2023-10-12,47.0,2372.0
2023-10-12,48.0,2733.0
2023-10-12,49.0,745.0
2023-10-12,99.0,42946.0
2023-10-13,11.0,8834.0
2023-10-13,26.0,3329.0
2023-10-13,27.0,2772.0
2023-10-13,28.0,2285.0
2023-10-13,29.0,1088.0
2023-10-13,30.0,1394.0
2023-10-13,31.0,788.0
2023-10-13,41.0,12516.0
2023-10-13,42.0,0.0
2023-10-13,43.0,1444.0
2023-10-13,44.0,2099.0
2023-10-13,45.0,1970.0
2023-10-13,46.0,1700.0
2023-10-13,47.0,2400.0
2023-10-13,48.0,3042.0
2023-10-13,49.0,811.0
2023-10-13,99.0,47836.0
2023-10-14,11.0,5232.0
2023-10-14,26.0,1957.0
2023-10-14,27.0,1666.0
2023-10-14,28.0,1428.0
2023-10-14,29.0,773.0
2023-10-14,30.0,896.0
2023-10-14,31.0,440.0
2023-10-14,41.0,8120.0
2023-10-14,42.0,0.0
2023-10-14,43.0,806.0
2023-10-14,44.0,1329.0
2023-10-14,45.0,1216.0
2023-10-14,46.0,1004.0
2023-10-14,47.0,1370.0
2023-10-14,48.0,1744.0
2023-10-14,49.0,370.0
2023-10-14,99.0,29076.0
2023-10-15,11.0,317.0
2023-10-15,26.0,48.0
2023-10-15,27.0,42.0
2023-10-15,28.0,88.0
2023-10-15,29.0,61.0
2023-10-15,30.0,35.0
2023-10-15,31.0,42.0
2023-10-15,41.0,687.0
2023-10-15,42.0,0.0
2023-10-15,43.0,34.0
2023-10-15,44.0,84.0
2023-10-15,45.0,45.0
2023-10-15,46.0,47.0
2023-10-15,47.0,37.0
2023-10-15,48.0,78.0
2023-10-15,49.0,97.0
2023-10-15,99.0,1763.0
2023-10-16,11.0,9656.0
2023-10-16,26.0,3696.0
2023-10-16,27.0,2976.0
2023-10-16,28.0,2494.0
2023-10-16,29.0,1291.0
2023-10-16,30.0,1467.0
2023-10-16,31.0,905.0
2023-10-16,41.0,13840.0
2023-10-16,42.0,0.0
2023-10-16,43.0,1606.0
2023-10-16,44.0,2361.0
2023-10-16,45.0,2309.0
2023-10-16,46.0,1877.0
2023-10-16,47.0,2902.0
2023-10-16,48.0,3348.0
2023-10-16,49.0,969.0
2023-10-16,99.0,53234.0
2023-10-17,11.0,8645.0
2023-10-17,26.0,3308.0
2023-10-17,27.0,2736.0
2023-10-17,28.0,2288.0
2023-10-17,29.0,1136.0
2023-10-17,30.0,1304.0
2023-10-17,31.0,793.0
2023-10-17,41.0,11981.0
2023-10-17,42.0,0.0
2023-10-17,43.0,1376.0
2023-10-17,44.0,1926.0
2023-10-17,45.0,1901.0
2023-10-17,46.0,1586.0
2023-10-17,47.0,2451.0
2023-10-17,48.0,2744.0
2023-10-17,49.0,693.0
2023-10-17,99.0,46120.0
2023-10-18,11.0,7793.0
2023-10-18,26.0,2891.0
2023-10-18,27.0,2347.0
2023-10-18,28.0,2089.0
2023-10-18,29.0,915.0
2023-10-18,30.0,1317.0
2023-10-18,31.0,661.0
2023-10-18,41.0,10773.0
2023-10-18,42.0,0.0
2023-10-18,43.0,1256.0
2023-10-18,44.0,1700.0
2023-10-18,45.0,1799.0
2023-10-18,46.0,1360.0
2023-10-18,47.0,2252.0
2023-10-18,48.0,2410.0
2023-10-18,49.0,725.0
2023-10-18,99.0,41378.0
2023-10-19,11.0,6967.0
2023-10-19,26.0,2864.0
