업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
일반미용업,2020-06-08,머리혜윰,전라남도 여수시 시청서2길 33 (학동),전라남도 여수시 학동 106-15 
일반미용업,2020-07-08,살롱드 진,"전라남도 여수시 선소로 63, 2층 (학동)",전라남도 여수시 학동 85-30 
일반미용업,2020-07-30,늘품살롱,"전라남도 여수시 국동4길 24, 1층 102호 (국동)",전라남도 여수시 국동 705-1 
일반미용업,2020-08-04,블룸(BLOOM)헤어살롱,"전라남도 여수시 소호7길 8, 2층 (소호동)",전라남도 여수시 소호동 440-9 
일반미용업,2020-08-24,깨비헤어샵,"전라남도 여수시 대교로 37, 1층 (봉산동)",전라남도 여수시 봉산동 244-6 
일반미용업,2020-09-29,서&강 헤어,"전라남도 여수시 도원로 192, 1층 (안산동)",전라남도 여수시 안산동 439-6 
일반미용업,2020-10-15,뉴헤어(New Hair),"전라남도 여수시 돌산읍 강남1길 30, 1층",전라남도 여수시 돌산읍 우두리 1033-8 1층 
일반미용업,2020-10-20,란샵,"전라남도 여수시 여서1로 37, 2,3층 (여서동)",전라남도 여수시 여서동 209-5 
일반미용업,2020-11-24,헤어작업실,"전라남도 여수시 무선8길 26, 101호 (선원동)",전라남도 여수시 선원동 1280-2 
일반미용업,2020-12-08,헤어174,"전라남도 여수시 여서로 174, 정성빌딩 1층 1호 (여서동)",전라남도 여수시 여서동 491-7 
일반미용업,2020-12-11,연서헤나,"전라남도 여수시 신기남3길 22-3, 1층 (신기동)",전라남도 여수시 신기동 63-7 
일반미용업,2021-01-06,모니크,"전라남도 여수시 신기남1길 19, 1층 (신기동)",전라남도 여수시 신기동 116-1 
일반미용업,2021-01-06,머리해요,전라남도 여수시 남면 금오로 918,전라남도 여수시 남면 우학리 762-3 
일반미용업,2021-01-22,김미영 헤어,전라남도 여수시 문수로 118 (여서동),전라남도 여수시 여서동 221 
일반미용업,2021-02-02,라포레 헤어살롱,"전라남도 여수시 무선중앙로 57, 1층 (선원동)",전라남도 여수시 선원동 1243-6 
일반미용업,2021-02-10,봄 미용기능장의 집,"전라남도 여수시 쌍봉로 52, 1층 (학동)",전라남도 여수시 학동 50-2 
일반미용업,2021-04-05,디뮤어 살롱,"전라남도 여수시 장성3길 22-3, 1~2층 (안산동)",전라남도 여수시 안산동 731-6 
일반미용업,2021-04-05,E.U (이유),"전라남도 여수시 여서1로 114-1, 1층 (여서동)",전라남도 여수시 여서동 224-12 
일반미용업,2021-04-06,오드리헤어,"전라남도 여수시 도원로 257, 1층 (학동)",전라남도 여수시 학동 67-1 
일반미용업,2021-04-12,LK헤어샾,"전라남도 여수시 문수7길 32, 부영9차아파트 911동 206호 (문수동)",전라남도 여수시 문수동 450-1 부영9차아파트 
일반미용업,2021-05-07,원호 뷰티랩,"전라남도 여수시 웅천중앙로 79, 1층 (웅천동)",전라남도 여수시 웅천동 1665-2 
일반미용업,2021-05-31,#317 붙임머리,"전라남도 여수시 충무오거리길 17-1, 1층 (교동)",전라남도 여수시 교동 73 
일반미용업,2021-07-05,죽포헤어,"전라남도 여수시 돌산읍 죽포1길 6, 1층",전라남도 여수시 돌산읍 죽포리 755-4 
일반미용업,2021-07-28,리블로썸,"전라남도 여수시 소라면 죽림중앙로 7-39, 그리올오피스텔 1층 110호",전라남도 여수시 소라면 죽림리 1180-3 
일반미용업,2021-08-11,J HAIR #,"전라남도 여수시 소라면 덕양로 96, 107동 104호 (죽림 호반베르디움)",전라남도 여수시 소라면 죽림리 1117 죽림 호반베르디움 
일반미용업,2021-08-13,결 헤어,"전라남도 여수시 여문1로 28, 1층 (여서동)",전라남도 여수시 여서동 371 
일반미용업,2021-08-23,요비헤어 1호점,"전라남도 여수시 화산로 18, 1층 (화장동)",전라남도 여수시 화장동 894-12 
일반미용업,2021-08-31,더옴므 헤어,"전라남도 여수시 웅천남8로 24, 104동 139호 (웅천동, 포레나 여수 웅천 1단지)",전라남도 여수시 웅천동 1888-1 포레나 여수 웅천 1단지 
일반미용업,2021-09-06,전스 오다가다 미용실,전라남도 여수시 진남상가길 24 (교동),전라남도 여수시 교동 177 
일반미용업,2021-09-09,Salon de Hee,"전라남도 여수시 웅천2길 9, 1층 (웅천동)",전라남도 여수시 웅천동 1782-7 
일반미용업,2021-09-10,르뽀렘 헤어,"전라남도 여수시 웅천로 90, 여수베이원파크 202호 (웅천동)",전라남도 여수시 웅천동 1876-1 여수베이원파크 
일반미용업,2021-09-28,오월,전라남도 여수시 선소로 100 (신기동),전라남도 여수시 신기동 59-7 
