관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 산월동 882-8,,2,200만,360도,30일,2024,35.213291,126.84746,2024-06-30
광주광역시 사회재난과,광산구 산월동 884-4,광산구 산월로 101,2,200만,360도,30일,2022,35.208911,126.847398,2024-06-30
광주광역시 사회재난과,광산구 산정동 101-5,광산구 목련로2번길 19,2,200만,360도,30일,2024,35.172069,126.798293,2024-06-30
광주광역시 사회재난과,광산구 산정동 1116,광산구 목련로22번길 11,2,200만,360도,30일,2013,35.172488,126.80036,2024-06-30
광주광역시 사회재난과,광산구 산정동 1116,광산구 목련로22번길 11,1,200만,360도,30일,2018,35.172488,126.80036,2024-06-30
광주광역시 사회재난과,광산구 산정동 1117,광산구 목련로22번길 31,2,200만,360도,30일,2022,35.170591,126.800224,2024-06-30
광주광역시 사회재난과,광산구 산정동 1117,광산구 목련로22번길 31,1,200만,360도,30일,2024,35.170591,126.800224,2024-06-30
광주광역시 사회재난과,광산구 산정동 882-21,,1,200만,360도,30일,2022,35.16423,126.799573,2024-06-30
광주광역시 사회재난과,광산구 산정동 882-21,,2,200만,360도,30일,2024,35.16423,126.799573,2024-06-30
광주광역시 사회재난과,광산구 산정동 936-5,광산구 산정공원로 71,4,200만,360도,30일,2020,35.173834,126.806318,2024-06-30
광주광역시 사회재난과,광산구 산정동 964-7,광산구 산정로17번길 10,1,200만,360도,30일,2020,35.168288,126.803071,2024-06-30
광주광역시 사회재난과,광산구 산정동 964-7,광산구 산정로17번길 10,1,200만,360도,30일,2024,35.168288,126.803071,2024-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2018,35.16965,126.804017,2024-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2022,35.16965,126.804017,2024-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2023,35.16965,126.804017,2024-06-30
광주광역시 사회재난과,광산구 산정동 960-14,광산구 산정로 34,1,200만,360도,30일,2024,35.16965,126.804017,2024-06-30
광주광역시 사회재난과,광산구 삼거동 438-4,,1,200만,360도,30일,2022,35.163659,126.674396,2024-06-30
광주광역시 사회재난과,광산구 삼거동 438-4,,1,200만,360도,30일,2024,35.163659,126.674396,2024-06-30
광주광역시 사회재난과,광산구 선암동 694,광산구 선운로2번길 35,2,200만,360도,30일,2022,35.146369,126.773158,2024-06-30
광주광역시 사회재난과,광산구 선암동 694,광산구 선운로2번길 35,2,200만,360도,30일,2022,35.146369,126.773158,2024-06-30
광주광역시 사회재난과,광산구 선암동 791,광산구 선운로 1,2,200만,360도,30일,2022,35.148118,126.769575,2024-06-30
광주광역시 사회재난과,광산구 선암동 791,광산구 선운로 1,1,200만,360도,30일,2022,35.148118,126.769575,2024-06-30
광주광역시 사회재난과,광산구 선암동 70-1,광산구 어등대로648번길 146,2,200만,360도,30일,2022,35.144748,126.781455,2024-06-30
광주광역시 사회재난과,광산구 소촌동 304-2,,1,200만,360도,30일,2013,35.147605,126.797349,2024-06-30
