년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,고성공업사,교통관련시설지역,대지(2지역),2지역,1418,0-0.15,0.15,31,3.11,0.01,27.4,0,149.4,5.5,270,,,0,,,,,,,,,,,8
2022,거진초교 병설유치원,어린이 놀이시설지역,학교용지,1지역,12950,0-0.15,0.3,5.1,2.66,0,15.7,0,72.8,4.5,,,,0,,,,,,,,,,,8.2
2022,죽왕초등학교,어린이 놀이시설지역,학교용지,1지역,7684,0-0.15,0.27,0,0,0,14.6,0,77.5,2,,,,0,,,,,,,,,,,8.1
2022,동광초등학교,어린이 놀이시설지역,학교용지,1지역,14057,0-0.15,0.46,16.7,4.01,0.14,13.8,0,78.2,15.3,,,,0,,,,,,,,,,,7.6
2022,포월농공단지 주변,산업단지 및 공장지역,전,1지역,1557,0.15m,0.15,31.1,3.38,0.03,11.9,0,76.6,65.5,339,0,,0,,,,,,,,,,,6.9
2022,환경자원센터 선별장주변,폐기물 처리 및 재활용 관련 지역,답,1지역,5403,0.15m,0.11,12,2.96,0.08,17.6,0,67.1,15.2,,0,,0,,,,,,,,,,,7
2022,강현면 매립장 주변,폐기물 처리 및 재활용 관련 지역,답,1지역,1243,0.15m,0.19,15.6,2.57,0.05,12.2,0,65.3,30.3,,0,,0,,,,,,,,,,,5.2
2022,양양JC주변,교통관련시설지역,답,1지역,1233,0.15m,0,15.1,1.53,0.01,7.9,0,63.6,39.1,,0,,0,,,,,,,,,,,6.3
2022,화일리석산주변,산지 등 복구 및 공유수면 매립지역,임야,2지역,35702,0.15m,0.38,6.6,1.84,0.04,8.6,0,98.6,13.7,,,,0,,,,,,,,,,,8.4
2022,조산초등학교,어린이 놀이시설지역,학교용지,1지역,13262,0.15m,0,8.6,5.72,0.05,10,0,64.6,12,,,,0,,,,,,,,,,,6.9
2022,꿈을주는어린이집 놀이터,어린이 놀이시설지역,대지(1지역),1지역,496,0.15m,0,15.2,2.54,0.02,8.2,0,68.3,21,272,,,0,,,,,,,,,,,6.3
2022,양양 어린이집 놀이터,어린이 놀이시설지역,대지(1지역),1지역,3642,0.15m,0,5,3.82,0.03,6,0,33.5,8,218,,,0,,,,,,,,,,,7.5
2022,상평초 공수전분교,어린이 놀이시설지역,학교용지,1지역,1713,0.15m,0,11.5,5.99,0.24,16,0,70,20.2,,,,0,,,,,,,,,,,6.6
2022,물치택지 주변,토지개발지역,대지(1지역),1지역,250,0.15m,0,3.7,2.57,0.02,13.2,0,56.1,16,317,,,0,,,,,,,,,,,6.4
2022,자원순환특화단지,산업단지 및 공장지역,공장용지,3지역,2795.1,표토,1.67,18,4.2,0.02,28.3,0,86,14.5,410,,0,0,0,0,0,0,0,53,0,0,,0,5.8
