시도,시도명,시군구,시군구명,읍면동,읍면동명,위도,경도,평면직각좌표계_X좌표,평면직각좌표계_Y좌표,지리정보시스템아이디,상태,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표
26,부산광역시,470,연제구,720,연산8동,35.18654783,129.0970392,390939.8877,189495.5671,26470720,Y,129.0927429,35.17954463,129.1026634,35.19240755
26,부산광역시,470,연제구,730,연산9동,35.18409705,129.1067675,391831.9286,189242.3184,26470730,Y,129.0972134,35.17596358,129.1151693,35.19176945
26,부산광역시,500,수영구,660,남천1동,35.14403568,129.1080532,392043.1708,184799.1632,26500660,Y,129.1016553,35.13536994,129.1156629,35.15079168
26,부산광역시,500,수영구,670,남천2동,35.14337711,129.114404,392623.5844,184738.3602,26500670,Y,129.1108234,35.13891741,129.117995,35.1489673
26,부산광역시,500,수영구,730,수영동,35.17042638,129.1177107,392861.1877,187746.4416,26500730,Y,129.1094296,35.16553664,129.1266169,35.17439884
26,부산광역시,500,수영구,740,망미1동,35.17151517,129.1009697,391333.1594,187834.9201,26500740,Y,129.0923333,35.16176405,129.1094296,35.18089801
26,부산광역시,500,수영구,750,망미2동,35.17745072,129.1149586,392593.8425,188520.5961,26500750,Y,129.107195,35.17127706,129.1225124,35.187854
26,부산광역시,500,수영구,760,광안1동,35.16252409,129.1097353,392153.0328,186854.1069,26500760,Y,129.0948372,35.15867848,129.1209693,35.16659653
26,부산광역시,500,수영구,770,광안2동,35.15446628,129.1155577,392702.6126,185971.1584,26500770,Y,129.1111489,35.14801471,129.1209693,35.15977748
26,부산광역시,500,수영구,780,광안3동,35.16775303,129.1106905,392227.7893,187436.1981,26500780,Y,129.1036113,35.16472079,129.1202111,35.171805
26,부산광역시,500,수영구,790,광안4동,35.15593963,129.1054314,391776.2683,186115.1086,26500790,Y,129.0960182,35.14991538,129.1137208,35.16107019
26,부산광역시,500,수영구,800,민락동,35.15962245,129.1258473,393628.1982,186563.3056,26500800,Y,129.1178907,35.1522478,129.1353438,35.16835962
26,부산광역시,530,사상구,580,삼락동,35.17221491,128.9710596,379494.3853,187670.3423,26530580,Y,128.9595436,35.14256524,128.9881988,35.19726046
26,부산광역시,530,사상구,591,모라1동,35.18820329,128.98994,381179.3426,189478.9604,26530591,Y,128.9815553,35.18077979,129.0006209,35.1959267
26,부산광역시,530,사상구,593,모라3동,35.18312101,129.0076063,382800.1097,188947.3173,26530593,Y,128.9913133,35.17362902,129.0238182,35.19282828
26,부산광역시,530,사상구,600,덕포1동,35.16971906,128.9871317,380964.4587,187422.7089,26530600,Y,128.9803993,35.16713602,128.9952526,35.1725466
26,부산광역시,530,사상구,610,덕포2동,35.17635945,128.9889645,381116.7483,188162.9081,26530610,Y,128.979615,35.17086187,128.9988776,35.18206395
26,부산광역시,530,사상구,620,괘법동,35.1662036,128.9931899,381524.2296,187043.6561,26530620,Y,128.9748891,35.15709773,129.0105452,35.17598889
26,부산광역시,530,사상구,645,감전동,35.14939161,128.9775319,380134.397,185149.5751,26530645,Y,128.9605886,35.13035467,128.9997094,35.16326402
26,부산광역시,530,사상구,650,주례1동,35.15562355,129.0002871,382194.5604,185882.5447,26530650,Y,128.9917577,35.149675,129.007984,35.16448763
11,서울특별시,110,종로구,515,청운효자동,37.58459349,126.9704065,197317.7691,453592.6239,11110515,Y,126.9577377,37.57559584,126.9802879,37.593879
11,서울특별시,110,종로구,530,사직동,37.57412506,126.970026,197283.7492,452430.7482,11110530,Y,126.96161,37.56813682,126.9770399,37.57949618
11,서울특별시,110,종로구,540,삼청동,37.58786759,126.9811261,198264.6823,453955.7156,11110540,Y,126.9735512,37.57550905,126.9894598,37.59654659
11,서울특별시,110,종로구,550,부암동,37.59673294,126.9626027,196629.0599,454940.2453,11110550,Y,126.9527329,37.58379354,126.975835,37.60710152
11,서울특별시,110,종로구,560,평창동,37.61402995,126.9692731,197218.8613,456859.778,11110560,Y,126.9493391,37.59504755,126.9877249,37.63226756
11,서울특별시,110,종로구,570,무악동,37.57769743,126.9587949,196291.7851,452827.6539,11110570,Y,126.9535403,37.5729433,126.9629531,37.58167901
11,서울특별시,110,종로구,580,교남동,37.57102439,126.9641768,196766.9,452086.8011,11110580,Y,126.9595549,37.56587807,126.9690329,37.57664389
11,서울특별시,110,종로구,600,가회동,37.58272454,126.986607,198748.6563,453384.8129,11110600,Y,126.9828188,37.5765734,126.9897458,37.59137697
11,서울특별시,110,종로구,615,"종로1,2,3,4가동",37.57512523,126.9898015,199030.6921,452541.3174,11110615,Y,126.9768726,37.56809081,127.0016064,37.58740768
11,서울특별시,110,종로구,630,"종로5,6가동",37.57286335,127.0043889,200319.3387,452290.2097,11110630,Y,126.9979045,37.56957461,127.010273,37.57677076
11,서울특별시,110,종로구,640,이화동,37.57948616,127.0029543,200192.6015,453025.2732,11110640,Y,126.9963954,37.57492814,127.0088306,37.58529006
11,서울특별시,110,종로구,650,혜화동,37.58740327,126.9976873,199727.4113,453904.0091,11110650,Y,126.9880258,37.58111554,127.0073543,37.59249909
11,서울특별시,110,종로구,670,창신1동,37.5723912,127.0137788,201148.8564,452237.8578,11110670,Y,127.0095614,37.56976456,127.0188023,37.57679278
11,서울특별시,110,종로구,680,창신2동,37.57591836,127.0101977,200832.4706,452629.303,11110680,Y,127.0080113,37.57147491,127.01278,37.58043541
11,서울특별시,110,종로구,690,창신3동,37.57892247,127.0131685,201094.8662,452962.7583,11110690,Y,127.0104636,37.57536398,127.0154613,37.58220885
11,서울특별시,110,종로구,700,숭인1동,37.57726345,127.0168492,201420.0233,452778.6608,11110700,Y,127.0146054,37.57299596,127.0191365,37.58211336
11,서울특별시,110,종로구,710,숭인2동,37.57448038,127.0203184,201726.5296,452469.8213,11110710,Y,127.0156334,37.57096774,127.0233519,37.57884629
11,서울특별시,140,중구,520,소공동,37.56434258,126.9742762,197658.8741,451344.8732,11140520,Y,126.9666632,37.55958472,126.9826326,37.56935942
11,서울특별시,140,중구,540,회현동,37.5570114,126.9766528,197868.6232,450531.1284,11140540,Y,126.9684735,37.55269046,126.9854135,37.56178342
11,서울특별시,140,중구,550,명동,37.56373494,126.9842577,198540.737,451277.1962,11140550,Y,126.9754915,37.55394246,126.9908526,37.56939093
11,서울특별시,140,중구,570,필동,37.55687366,126.9937415,199378.5586,450515.5508,11140570,Y,126.9847231,37.55007627,127.0038627,37.56327524
11,서울특별시,140,중구,580,장충동,37.55557209,127.0021719,200123.4397,450371.0341,11140580,Y,126.9923448,37.54722026,127.0098425,37.56376201
11,서울특별시,140,중구,590,광희동,37.5651595,127.0038018,200267.4653,451435.1662,11140590,Y,126.993348,37.56139406,127.0124385,37.56976635
11,서울특별시,140,중구,605,을지로동,37.56659803,126.9965204,199624.168,451594.8468,11140605,Y,126.9884917,37.56283815,127.0059373,37.5696406
11,서울특별시,140,중구,615,신당동,37.56573708,127.0136897,201141.0623,451499.3118,11140615,Y,127.0093481,37.56022755,127.0180586,37.5702747
11,서울특별시,140,중구,625,다산동,37.55485161,127.0082959,200664.5833,450291.0858,11140625,Y,127.0037604,37.54768584,127.0137609,37.56203044
11,서울특별시,140,중구,635,약수동,37.54992217,127.0101864,200831.6788,449743.9874,11140635,Y,127.0048272,37.54379369,127.0162901,37.55551351
