파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류,origin파일명,유사도
8_학생의체력증진에관한사항현황.csv,1등급(80~100점)비율(%),0,,220,220,0.0,5.181818181818182,41.4,0.0,6.697894736842105,4.7,1.875,8.925,7.050000000000001,48.64192708285178,6.974376465523766,41.4,1.9482439771667768,4.770381874380579,교육,교육일반,교육_filtered.csv,-0.8703096038783524
3_전국배수펌프장표준데이터.csv,제공기관코드,0,,38,38,5350000.0,8.5,6270000.0,3070000.0,4416078.947368421,4140000.0,3450000.0,5350000.0,1900000.0,842002847008.8234,917607.1310799756,3200000.0,0.3462684577713315,-1.005458482,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.8703096038783524
8_학생의체력증진에관한사항현황.csv,유연성-앉아윗몸앞으로굽히기평균값(cm),0,,163,163,7.4,6.803680981595092,23.0,2.0,11.814878268710553,11.7,8.6,15.0,6.4,15.018072661160929,3.875315814377059,21.0,-0.045570793,-0.874541083,교육,교육일반,교육_filtered.csv,-0.7993187463904968
2_전국관광지정보표준데이터.csv,면적,0,,739,739,0.0,1.108254397834912,47920000.0,0.0,472022.42509152624,21768.0,1845.2,184658.0,182812.8,6210989592207.086,2492185.7058026567,47920000.0,12.675969283645273,199.9301852124531,문화관광,관광,문화관광_filtered.csv,-0.7993187463904968
8_학생의체력증진에관한사항현황.csv,4등급(20~39점)인원수(명),0,,65,65,0.0,17.53846153846154,90.0,0.0,13.070175438596491,9.0,3.0,18.0,15.0,175.38927652757917,13.243461651984315,90.0,1.7214560726759722,3.7079292123489154,교육,교육일반,교육_filtered.csv,-0.8096774438937795
6_국민건강보험공단_건강검진정보_20221231_수정.CSV,가입자일련번호,0,,1000000,1000000,11.0,1.0,4999993.0,11.0,2498490.678,2497836.0,1247547.75,3747997.75,2500450.0,2083230000000.0,1443340.197698332,4999982.0,0.001335639,-1.200010248,보건의료,보건의료,보건의료_filtered.csv,-0.8096774438937795
8_학생의체력증진에관한사항현황.csv,1등급(80~100점)비율(%),0,,220,220,0.0,5.181818181818182,41.4,0.0,6.697894736842105,4.7,1.875,8.925,7.050000000000001,48.64192708285178,6.974376465523766,41.4,1.9482439771667768,4.770381874380579,교육,교육일반,교육_filtered.csv,-0.8251468806901876
126_근로복지공단_지사별 진료비 지급현황_20221231.csv,총지급액,0,,64,64,898498280.0,1.0,909462000000.0,898498280.0,28420686622.0,10771689815.0,6486435083.0,18979568615.0,12493133533.0,1.268513046132815e+22,112628284464.10852,908563000000.0,7.839160138634664,62.230188526464666,산업고용,고용노동,산업고용_filtered.csv,-0.8251468806901876
8_학생의체력증진에관한사항현황.csv,유연성-앉아윗몸앞으로굽히기평균값(cm),0,,163,163,7.4,6.803680981595092,23.0,2.0,11.814878268710553,11.7,8.6,15.0,6.4,15.018072661160929,3.875315814377059,21.0,-0.045570793,-0.874541083,교육,교육일반,교육_filtered.csv,-0.7757438871324405
88_한국의약품안전관리원_노인주의약물_20240813.csv,제품코드,0,,593,593,51700030.0,1.0,698502970.0,51700030.0,629038828.6408094,650303800.0,643308800.0,657200890.0,13892090.0,1.3706307866258514e+16,117073941.87545969,646802940.0,-4.575699588,19.36310375003313,식품건강,식품의약안전,식품건강_filtered.csv,-0.7757438871324405
8_학생의체력증진에관한사항현황.csv,유연성-종합유연성평균(점),0,,13,13,8.0,4.307692307692308,8.0,6.0,7.523214285714286,7.7,7.2,7.9,0.7000000000000002,0.2523603896103897,0.5023548443186248,2.0,-1.566180514,2.489222655249442,교육,교육일반,교육_filtered.csv,-0.8281261354918552
58_소방청_화재발생 정보_20231231.csv,동산,0,,17644,17644,0.0,10.119247336204944,267516480.0,0.0,16594.55963235953,330.0,60.0,1851.0,1791.0,742398136546.9926,861625.2877829159,267516480.0,219.5273095258269,59290.39413726697,재난안전,안전관리,재난안전_filtered.csv,-0.8281261354918552
8_학생의체력증진에관한사항현황.csv,4등급(20~39점)인원수(명),0,,65,65,0.0,17.53846153846154,90.0,0.0,13.070175438596491,9.0,3.0,18.0,15.0,175.38927652757917,13.243461651984315,90.0,1.7214560726759722,3.7079292123489154,교육,교육일반,교육_filtered.csv,-0.8808989674285558
1_한국환경공단_석면조사대상건축물현황(공공건축물)_20231019.csv,석면건축물_일련번호,0,,33090,33090,1.0,1.0,33090.0,1.0,16545.5,16545.5,8273.25,24817.75,16544.5,91248432.5,9552.40454,33089.0,0.0,-1.2,환경기상,환경일반,환경기상_filtered.csv,-0.8808989674285558
3_전국배수펌프장표준데이터.csv,제공기관코드,0,,38,38,5350000.0,8.5,6270000.0,3070000.0,4416078.947368421,4140000.0,3450000.0,5350000.0,1900000.0,842002847008.8234,917607.1310799756,3200000.0,0.3462684577713315,-1.005458482,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.7706475493369155
2_전국관광지정보표준데이터.csv,위도,0,,799,799,35.04638172,1.0250312891113893,38.51438609,33.23342738,35.98301238147509,35.55690191,35.117233639999995,37.03231915,1.9150855140000047,1.2276751312332952,1.108005023108332,5.28095871,0.3486037560015956,-0.878582646,문화관광,관광,문화관광_filtered.csv,-0.7706475493369155
3_전국배수펌프장표준데이터.csv,제공기관코드,0,,38,38,5350000.0,8.5,6270000.0,3070000.0,4416078.947368421,4140000.0,3450000.0,5350000.0,1900000.0,842002847008.8234,917607.1310799756,3200000.0,0.3462684577713315,-1.005458482,농업농촌,농업·농촌,농업농촌_filtered.csv,-0.7941421391904332
6_국민건강보험공단_건강검진정보_20221231_수정.CSV,트리글리세라이드,0,,1332,1332,79.0,259.46996996996995,7766.0,1.0,131.8555643000573,107.0,75.0,157.0,82.0,10707.00211772881,103.47464480600458,7765.0,7.757281042817163,208.15344918111995,보건의료,보건의료,보건의료_filtered.csv,-0.7941421391904332
