파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,수온 저층,0,,89,89,15.57,1.0898876404494382,20.52,7.1,15.947835051546392,16.58,14.93,17.75,2.8200000000000003,7.404273389175258,2.721079452933203,13.42,-1.054483521,0.8651782970375934,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,염분 표층,0,,82,82,32.79,1.1829268292682926,33.97,23.47,32.052989690721645,32.64,31.45,33.28,1.8300000000000016,3.30787326030928,1.818755965023697,10.5,-2.327305111,7.522326180266122,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,염분 저층,0,,84,84,34.11,1.1547619047619049,34.25,25.71,32.563092783505155,32.86,31.79,33.72,1.93,2.227434085051546,1.4924590731579697,8.54,-1.55366686,3.695847330730713,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,수소이온농도 표층,0,,37,37,7.95,2.621621621621621,8.3,7.82,8.123505154639176,8.14,8.04,8.21,0.1700000000000017,0.013425086,0.1158666729938032,0.4800000000000004,-0.593217276,-0.475933701,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,수소이온농도 저층,0,,36,36,8.1,2.6944444444444446,8.29,7.85,8.092268041237112,8.1,8.03,8.16,0.1300000000000007,0.008194802,0.090525148,0.4399999999999995,-0.409789581,-0.017776393,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존산소량 표층,0,,77,77,8.13,1.2597402597402598,10.74,6.43,8.558144329896907,8.6,8.21,8.93,0.7199999999999989,0.3467444372852235,0.5888500974655804,4.3100000000000005,-0.169235393,2.845952568865114,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,용존산소량 저층,0,,83,83,8.14,1.1686746987951808,9.81,6.3,8.116907216494846,8.14,7.6,8.66,1.0600000000000005,0.5684299183848796,0.7539429145398738,3.5100000000000007,-0.099748989,-0.612552458,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,화학적산소요구량 표층,0,,71,71,1.7,1.3661971830985915,3.42,0.98,1.644639175257732,1.54,1.3,1.87,0.5700000000000001,0.2234084621993126,0.4726610436658734,2.44,1.3364119988923902,2.188921547699356,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,화학적산소요구량 저층,0,,66,66,1.54,1.4696969696969695,3.35,0.86,1.699896907216495,1.69,1.39,1.91,0.52,0.1990260309278349,0.446123336,2.49,0.6983383531899406,1.3816294138682037,환경기상,해양환경
15_해양환경공단_해양환경측정망 정보_연안별 평균 해수수질현황_20211231.csv,암모니아질소 표층,0,,95,95,4.1,1.0210526315789474,275.58,2.34,23.96350515463917,14.11,7.26,29.46,22.200000000000003,1096.9186730025772,33.11976257467099,273.24,5.048009084888065,34.89832085367114,환경기상,해양환경
