진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,여,외래,J0042,43,2505,2542,20576462
2023,여,외래,J0043,2837,17519,17919,61235728
2023,여,외래,J1010,69,126,126,34618
2023,여,외래,J1011,1,1,1,286
2023,여,외래,J1020,26,26,26,8980
2023,여,외래,J1030,268,570,570,227005
2023,여,외래,J1040,45,58,58,25632
2023,여,외래,J1050,405,654,654,324372
2023,여,외래,J1060,37,69,69,40104
2023,여,외래,J1070,1080,6341,6341,3916130
2023,여,외래,J1080,45,63,63,43409
2023,여,외래,J1090,18,28,28,20672
2023,여,외래,J1100,220,455,455,368058
2023,여,외래,J1110,16,19,19,16605
2023,여,외래,J1116,85,126,126,161124
2023,여,외래,J1120,28,31,31,28868
2023,여,외래,J1121,292,601,601,867452
2023,여,외래,J1126,900,4710,4719,7704620
2023,여,외래,J1130,13,17,17,16824
2023,여,외래,J1131,57,132,132,254607
2023,여,외래,J1140,663,2722,2723,2800498
2023,여,외래,J1141,17,23,23,51916
2023,여,외래,J1150,170,469,469,507210
2023,여,외래,J1151,64,169,169,446132
2023,여,외래,J1161,3,8,8,23805
2023,여,외래,J1171,2,2,2,6375
2023,여,외래,J1181,23,63,63,225195
2023,여,외래,J1191,5,5,5,20276
2023,여,외래,J1500,1420,2619,2625,565527
2023,여,외래,J1600,582,1641,1641,226593
2023,여,외래,J1700,30,44,44,12111
2023,여,외래,J2000,187,206,218,382209
2023,여,외래,J2001,1,1,1,2163
2023,여,외래,J3170,1,1,1,3646
2023,여,외래,J5010,405374,469309,469911.746,304800919
2023,여,외래,J5011,814,916,926.25,606170
2023,여,외래,J5020,193069,207496,207569.247,163796977
2023,여,외래,J5030,485944,544684,544962,504178289
2023,여,외래,J5040,27637,32670,32682,35211815
2023,여,외래,J5050,162263,195883,196018,234047785
2023,여,외래,J5060,6845,8214,8219,10900605
2023,여,외래,J5070,130889,258669,258993.25,373165626
2023,여,외래,J5080,8087,10283,10294,16372293
2023,여,외래,J5090,4916,5662,5665,9757952
2023,여,외래,J5100,21424,32361,32375,60178992
2023,여,외래,J5110,3357,3876,3887,7695774
2023,여,외래,J5116,18352,32085,32103,94988381
2023,여,외래,J5120,5754,7209,7214,15360153
2023,여,외래,J5121,51802,127860,127976,422458750
2023,여,외래,J5126,159763,769414,772127.35,2830323164
2023,여,외래,J5130,2780,3102,3104,6962207
2023,여,외래,J5131,38253,96833,96987.25,435178435
2023,여,외래,J5140,96445,325251,325803.25,770402535
2023,여,외래,J5141,26151,59042,59163,310053753
2023,여,외래,J5150,18030,37429,37481,94168425
2023,여,외래,J5151,66024,187464,188128.75,1112265202
2023,여,외래,J5160,1,1,1,6864
2023,여,외래,J5161,23339,52923,53027.25,360889038
2023,여,외래,J5171,5510,7806,7823.3,59275717
2023,여,외래,J5181,59384,156312,156606.65,1299458745
2023,여,외래,J5191,29345,68541,68625.9,671910617
2023,여,외래,J5500,152700,224025,233894.05,151391167
2023,여,외래,J5600,122136,167422,168906.3,55369903
2023,여,외래,J5700,38595,150976,151064.1,100065907
2023,여,외래,JA101,4,4,4,2200000
2023,여,외래,JA103,1,1,1,110000
2023,여,외래,KK010,12976169,48728438,48820941.98,80134687713
2023,여,외래,KK020,1614685,2834216,2837729.18,6598572172
2023,여,외래,KK031,8,10,11,205271
2023,여,외래,KK032,7,8,8,135152
2023,여,외래,KK033,125,129,154,1705107
2023,여,외래,KK041,153,195,195,958283
2023,여,외래,KK042,278,285,287,1775980
2023,여,외래,KK043,82,92,92,464656
2023,여,외래,KK044,95,249,258,1225447
2023,여,외래,KK045,141033,142892,143051.91,623831925
2023,여,외래,KK046,3,3,3,18423
2023,여,외래,KK047,19,26,26,139655
2023,여,외래,KK051,367453,741032,1088773.76,2240087151
2023,여,외래,KK052,4172695,7589241,9165552.53,32204644316
2023,여,외래,KK053,424866,614007,658821.33,2786595181
2023,여,외래,KK054,2756225,6018366,6035558.869,9357724920
2023,여,외래,KK056,341699,392824,503288.5,539197145
2023,여,외래,KK057,5,5,5,11130
2023,여,외래,KK058,32674,79049,82416.5,178974410
2023,여,외래,KK059,3944850,6872661,7251592.625,3303304996
2023,여,외래,KK061,382905,1198352,1679800.52,21595079664
2023,여,외래,KK062,449373,909082,1068454.57,11914768527
2023,여,외래,KK070,16,16,20,577309
2023,여,외래,KK081,566,1225,1249,53762075
2023,여,외래,KK082,4,5,6,220050
2023,여,외래,KK090,1979548,6739598,10542402.506,183665541756
2023,여,외래,KK100,102,122,161,3973628
2023,여,외래,KK110,19969,25840,26550.6,143776284
2023,여,외래,KK120,207,270,300,4846826
2023,여,외래,KK130,4558,6368,6598,72728462
2023,여,외래,KK135,9881,18672,19389,159538832
2023,여,외래,KK140,151211,239150,236137.2,3040361551
2023,여,외래,KK151,4523,24320,24321,145650680
2023,여,외래,KK152,12868,86394,102970,521297859
