산정식명,분야별,배출가스,산정식방법론,산정식
타토지에서전용된농경지,LULUCF,CO2,IPCC Default,농경지_유기탄소증가량*44/12*(-1)
타토지로전용된초지,LULUCF,CO2,IPCC Default,농경지_유기탄소감소량*44/12*(-1)
농경지전용에 따른 N2O,LULUCF,N2O,IPCC Default,농경지_유기탄소증가량*1000000*(1/농경지_C:N Ratio)*농경지_EF*44/28*1/1000000
산림지로유지된 산림지,LULUCF,CO2,IPCC Default,산림지_탄소저장변화량*44/12*(-1)
습지로유지된습지,LULUCF,CH4,IPCC Default,활동자료*습지_CH4EF*비결빙일수
타토지에서전용된습지,LULUCF,CO2,IPCC Default,활동자료*습지_CO2EF*비결빙일수*습지_전용면적비율
HWP_CO2,LULUCF,CO2,IPCC Default,HWP  탄소축적변화량*44/12/1000
관리형 매립 CH4 산정식,폐기물,CH4,IPCC Default,(CH4발생량-회수량)*(1-CH4 산화율)
고형폐기물 생물학적처리,폐기물,CH4,IPCC Default,(생물학적처리 발생량-회수량)
소각 non-BIogenic CO2,폐기물,CO2,IPCC Default,활동자료*소각_dm*소각_cf*소각_fcf*소각_OF*년일수*44/12/1000
소각 non-BIogenic CH4,폐기물,CH4,IPCC Default,활동자료*CH4배출계수*년일수/1000000000
소각 non-BIogenic N2O,폐기물,N2O,IPCC Default,활동자료*N20배출계수*년일수/1000000000
소각 Biogenic CO2,폐기물,CO2,IPCC Default,활동자료*소각_dm*소각_cf*소각_OF*소각_바이오함량*년일수*44/12/1000
고형폐기물 생물학적처리,폐기물,N2O,IPCC Default,활동자료*N20배출계수/1000
폐수처리 CH4 산정식,폐기물,CH4,IPCC Default,BOD부하량/1000
공공하수처리 CH4산정식,폐기물,CH4,IPCC Default,(활동자료*CH4배출계수*인구율)-공공하수회수량
미처리/미차집 CH4산정식,폐기물,CH4,IPCC Default,활동자료*CH4배출계수
고도처리 N2O 산정식,폐기물,N2O,IPCC Default,(활동자료*N20배출계수*단백질비율/1000000)
분뇨 N2O 산정식,폐기물,N2O,IPCC Default,(분뇨질소부하량)*N20배출계수*44/28
